K10B22F    17.80    0.15     2.06  0.032  -1.20   0   4   0  2.37231  2.09061  24.44060  55213.7702
K10B27G    16.50    0.15     2.79  0.057  -1.20   0   8   0  2.56067  2.29244  22.53341  55214.0366
K10B28N    18.80    0.15     1.08  0.046  -1.20   0   5   0  1.82259  1.50441  32.65247  55214.1391
  a6451    16.70    0.15     3.11  0.038   1.32   0  25  25  1.50660  1.07368  40.65781  55214.2980
  M4004    16.60    0.15     3.84  0.027   1.60   0  10   7  2.29590  2.00006  25.29901  55214.3023
K10B31X    18.20    0.15     1.18  0.067  -1.20   0  12   0  1.82341  1.46053  32.55099  55214.4382
  B4553    15.00    0.15     2.81  0.223   1.09   0  14  14  1.68865  1.30246  35.53292  55214.5639
  52384    15.20    0.15     1.51  0.640  -1.20   0   9   0  1.76966  1.39500  33.66216  55214.5682
K10B33T    16.50    0.15     2.78  0.057  -1.20   0  10   0  2.56453  2.29129  22.48834  55214.5688
K10B33V    18.30    0.15     0.89  0.107  -1.20   0   5   0  1.68908  1.29307  35.48711  55214.5696
  07723    13.90    0.15     4.34  0.258  -1.20   0   7   0  2.96639  2.77167  19.36164  55214.6665
  06564    16.10    0.15     1.48  0.292  -1.20   0  34   0  1.58234  1.20828  38.43010  55214.6883
K10B35Z    16.80    0.15     2.28  0.065  -1.20   0   6   0  2.38410  2.09604  24.29836  55214.8301
  d0695    16.50    0.15     1.44  0.214  -1.20   0  11   0  1.80865  1.44503  32.85458  55214.9619
  M0021    16.30    0.15     1.51  0.232  -1.20   0   5   0  1.98773  1.65077  29.57131  55214.9640
K10B38G    16.50    0.15     2.68  0.062  -1.20   0  11   0  2.56634  2.29350  22.47287  55214.9672
K10B34S    17.40    0.15     1.43  0.095  -1.20   0   5   0  1.99624  1.70728  29.51315  55215.0001
  d2214    17.20    0.15     1.01  0.227  -1.20   0   5   0  1.75354  1.38113  34.03235  55215.2259
K10B39Y    18.30    0.15     0.95  0.094  -1.20   0  14   0  1.68047  1.28639  35.71459  55215.2267
K10B41B    16.50    0.15     2.58  0.067  -1.20   0   6   0  2.56046  2.28708  22.52767  55215.3587
K10B41H    17.30    0.15     1.35  0.116  -1.20   0  13   0  1.69066  1.29619  35.45763  55215.3607
  B1661    16.20    0.15     1.39  0.305  -1.20   0  10   0  1.86206  1.55663  31.88597  55215.4658
K10B42W    16.50    0.15     2.61  0.065  -1.20   0   6   0  2.58247  2.30822  22.32038  55215.4924
K10B43N    16.20    0.15     3.09  0.061  -1.20   0   7   0  2.69930  2.48715  21.36806  55215.5304
  c8508    17.50    0.15     0.93  0.206  -1.20   0   5   0  1.71660  1.33060  34.85168  55215.6315
  73673    14.60    0.15     3.27  0.239  -1.20   0   2   0  2.81047  2.60487  20.48270  55215.7275
  12390    14.90    0.15     2.88  0.234   1.19   0  11  11  1.81546  1.44428  32.69063  55215.7592
  97034    14.60    0.15     3.28  0.238   1.41   0  11  11  1.89175  1.54590  31.25455  55215.7649
  01310    11.45    0.15    13.76  0.245   0.97   0   9   9  2.17030  1.91079  26.95140  55215.8590
  13091    15.40    0.15     2.10  0.278  -1.20   0   6   0  2.32757  2.02857  24.91967  55215.8915
  N6024    16.70    0.15     1.18  0.264  -1.20   0  10   0  1.84091  1.53511  32.30228  55216.1214
  E3259    15.50    0.15     2.37  0.199   1.45   0  20  13  1.81302  1.44966  32.76889  55216.1542
K10B48X    16.80    0.15     2.08  0.078  -1.20   0   3   0  2.36113  2.06273  24.53436  55216.1570
  R6785    18.30    0.15     1.15  0.064  -1.20   0  13   0  1.69833  1.30105  35.26012  55216.2879
K10B49S    16.80    0.15     2.54  0.052  -1.20   0   9   0  2.39544  2.10175  24.16464  55216.4218
  c1823    17.00    0.15     1.37  0.150  -1.20   0   2   0  1.97554  1.62998  29.75597  55216.4219
  04142    13.00    0.15     6.02  0.307   1.00   0  16  15  1.70953  1.38109  35.13666  55216.5146
  a3012    16.70    0.15     1.44  0.178  -1.20   0   7   0  1.98676  1.64454  29.57823  55216.6839
  Q6691    16.10    0.15     3.34  0.058   1.09   0  21  19  1.88841  1.53699  31.30670  55216.8182
