
> cssearth@0.1.0 test:browser /Users/ekrof/fed/cssEarth-pluto-small-moons
> node site/test/dom-cleanliness-browser.mjs

PASS psyche DPR 2: 71345 nodes; retained interaction
PASS interamnia DPR 2: 71361 nodes; retained interaction
PASS davida DPR 2: 71349 nodes; retained interaction
PASS sylvia DPR 2: 71345 nodes; retained interaction
PASS eunomia DPR 2: 71349 nodes; retained interaction
PASS euphrosyne DPR 2: 71365 nodes; retained interaction
PASS bamberga DPR 2: 71373 nodes; retained interaction
PASS fortuna DPR 2: 71341 nodes; retained interaction
PASS themis DPR 2: 71369 nodes; retained interaction
PASS amphitrite DPR 2: 71357 nodes; retained interaction
PASS egeria DPR 2: 71313 nodes; retained interaction
PASS elektra DPR 2: 71345 nodes; retained interaction
PASS iris DPR 2: 71313 nodes; retained interaction
PASS hebe DPR 2: 71337 nodes; retained interaction
PASS eugenia DPR 2: 71345 nodes; retained interaction
PASS daphne DPR 2: 71341 nodes; retained interaction
PASS eleonora DPR 2: 71345 nodes; retained interaction
PASS nemesis DPR 2: 71333 nodes; retained interaction
PASS kalliope DPR 2: 71333 nodes; retained interaction
PASS nemausa DPR 2: 71313 nodes; retained interaction
PASS parthenope DPR 2: 71341 nodes; retained interaction
PASS melpomene DPR 2: 71345 nodes; retained interaction
PASS julia DPR 2: 71341 nodes; retained interaction
PASS victoria DPR 2: 71333 nodes; retained interaction
PASS urania DPR 2: 71341 nodes; retained interaction
PASS flora DPR 2: 71341 nodes; retained interaction
PASS europa-52 DPR 2: 71389 nodes; retained interaction
PASS metis-9 DPR 2: 71333 nodes; retained interaction
PASS camilla DPR 2: 71357 nodes; retained interaction
PASS thisbe DPR 2: 71365 nodes; retained interaction
PASS doris DPR 2: 71345 nodes; retained interaction
PASS hermione DPR 2: 71357 nodes; retained interaction
PASS diotima DPR 2: 71349 nodes; retained interaction
PASS herculina DPR 2: 71353 nodes; retained interaction
PASS nausikaa DPR 2: 71313 nodes; retained interaction
PASS astraea DPR 2: 71345 nodes; retained interaction
PASS irene DPR 2: 71345 nodes; retained interaction
PASS nysa DPR 2: 71337 nodes; retained interaction
PASS sappho DPR 2: 71337 nodes; retained interaction
PASS betulia DPR 2: 71345 nodes; retained interaction
