Sk -70 43a         75.5192490 -70.7322235 C86  O9:                            
R71                75.5307922 -71.3369751 H94  LBV                            
Sk -70 44          75.5352936 -70.6655045 F88  B5 Iab                         
054365             75.5398712 -70.4173279 M03  M3 I                           
LMC054383          75.5414200 -70.5494690 M09  O4-5 V((f))pec                 
Sk -67 37a         75.5588760 -67.7716141 C86  B extr                         
HV2274             75.6699982 -68.4058380 G98  B1-2 IV-III + B1-2 IV-III      
RXJ0502.9-6626     75.7149963 -66.4402771 R05  B0 Ve XRB                      
Sk -66 50          75.7867508 -66.9596939 F88  B8 Ia+                         
BAT99-16           75.7871246 -66.6826401 S08  WN7h                           Sk -66 51
Sk -69 59          75.8029175 -69.0269470 J01  O(f) +B1 I?                    
058820             75.8140030 -70.2949753 M03  M0 I                           
Sk -70 47          75.8470383 -70.3475266 C86  B0 II                          
Sk -70 48          75.8732529 -70.6998367 F88  B2.5 Ia                        
Sk -67 38          75.8738327 -67.8736725 C86  O8                             
Sk -70 50          75.9412079 -70.1993103 F88  B3 Ia                          
Sk -68 32          75.9630814 -68.4529114 C86  O9 III                         
Sk -70 51          75.9729156 -70.2325821 F88  B2 Ia                          
061753             75.9990387 -69.6374969 M02  M2 Ia-Iab                      
Sk -67 38a         76.0105820 -67.2766724 M95  O8.5 V                         
Sk -66 54          76.0165405 -66.0692215 C86  B0 n                           
062090             76.0212479 -70.3796387 M03  M1 I                           
062353             76.0413361 -70.2049942 M03  M1 I                           
BAT99-17           76.0513763 -70.0653915 F03  WN4o                           Sk -70 54
[SP77]39-33        76.0587921 -67.2706985 M03  M4 Ia HV888                    
Sk -70 57          76.0617905 -70.6184769 C86  O7.5 III                       
Sk -68 35          76.1203766 -68.4377518 C86  B1 III                         
BI 64              76.1591644 -70.9118042 M95  Oe                             
Sk -70 60          76.1698761 -70.2595825 M09  O4-5 V((f))pec                 
064048             76.1741257 -70.7103271 M03  M3 I                           
Sk -68 38          76.1766663 -68.0765305 C86  B0 Ib                          
Sk -68 37          76.1773300 -68.4013596 C86  O8 III                         
Sk -68 39          76.2090454 -68.1312256 F88  B2.5 Ia                        
064706             76.2255402 -70.5552521 M03  M0-1 I                         
BI 66              76.2565002 -67.1743851 M95  B1 V                           
BAT99-18           76.2851257 -70.3791962 F03  WN3(h)                         Sk -70 64
065558             76.2917938 -70.6675568 M03  M0 I                           
Sk -70 65          76.2963333 -70.4373627 C86  B0 III                         
Sk -66 58          76.3009186 -66.7368317 F88  A0 Ia                          
Sk -68 40          76.3132935 -68.0372467 F88  B2.5 Ia                        
Sk -70 66          76.3194199 -70.4718857 C86  O9 Ib                          
Sk -70 69          76.3277893 -70.4305267 M09  O5.5 V((f))                    
Sk -70 70          76.3530807 -70.4612732 C86  O6 III(f)                      
Sk -68 41          76.3629608 -68.1673889 M09  B0.5 Ia                        
066778             76.3893356 -70.5630875 M03  M4 I                           
Sk -65 29          76.4606247 -65.7060242 C86  O8 V                           
067982             76.4858780 -70.5900040 M03  M4.5 I                         
068098             76.4954987 -70.4873886 M03  M1 I                           
068125             76.4981689 -70.8031693 M03  M4 I                           
Sk -65 30          76.5208359 -65.6647797 C86  B extr                         
Sk -68 45          76.5303345 -68.1183929 F88  B0 Ia                          
Sk -68 47          76.5609589 -68.1108627 M95  O8 I                           
Sk -68 46          76.5617905 -68.5503616 J01  O9.5 Ib                        
Sk -70 78          76.5668335 -70.4932480 F88  B0.7 Ia                        
Sk -67 45          76.5785828 -67.6964417 J01  B2 II                          
069960             76.6517487 -70.5440826 M03  M2 I                           
Sk -70 79          76.6552887 -70.4900513 M95  B0 III                         
MACHO1.4290.113    76.6575012 -69.2397156 G05  B6 V + B5 V                    
BI 78              76.6900024 -70.4055862 M95  B1 Ib                          
BI 74              76.7163773 -68.4295807 C86  B3 II                          
Sk -71 7           76.7377472 -71.2228088 J01  B1 I                           
Sk -67 46          76.7566223 -67.6249161 J01  B1.5 I                         
071357             76.7734146 -70.5456390 M03  M1 I                           
Sk -68 52          76.8350830 -68.5357208 W02  B0 Ia                          
