2dFS0411                                                      10.565000 -72.99803 E04      B0-5V
2dFS0412                                                      10.565375 -73.83200 E04      F0
2dFS0413                                                      10.566458 -73.40903 E04      B1-5IV
2dFS0414                                                      10.575625 -73.30261 E04      B0-5IV
2dFS0415                                                      10.577917 -73.54681 E04      B1-5IV
2dFS0416                                                      10.591458 -72.19806 E04      F0
2dFS0417                                                      10.598333 -73.43906 E04      A5II
2dFS0418                                                      10.599167 -74.21600 E04      B0-3IVe?
2dFS0419                                                      10.609417 -73.90675 E04      F0
2dFS0420                                                      10.615125 -73.84336 E04      F0
2dFS0421                                                      10.619042 -72.65756 E04      B0-5V
2dFS0422                                                      10.625708 -73.51222 E04      A7II
2dFS0423                                                      10.628292 -72.80383 E04      A0III
2dFS0424                                                      10.633958 -73.36728 E04      B1-2II
2dFS0425                                                      10.640708 -73.45853 E04      A0II
2dFS0426                                                      10.656167 -72.91239 E04      A3II
2dFS0427                                                      10.678625 -72.60936 E04      B1-5IV
2dFS0428                                                      10.679417 -72.81272 E04      B0-5V
2dFS0429                                                      10.685417 -73.43578 E04      B0-5III
2dFS0430                                                      10.688750 -73.41108 E04      B0-5V
2dFS0431                                                      10.692292 -73.72581 E04      B1-3V
2dFS0432                                                      10.700042 -73.82333 E04      B1-5III
2dFS0433                                                      10.705333 -73.74267 E04      F0
2dFS0434                                                      10.709500 -73.50767 E04      A3II
2dFS0435                                                      10.715167 -73.79878 E04      B1-5III
2dFS0436                                                      10.721792 -73.59583 E04      F5
2dFS0437                                                      10.727333 -73.29389 E04      A0III
2dFS0438                                                      10.731167 -73.80642 E04      B1-3IV
2dFS0439                                                      10.740000 -73.43392 E04      A0:III
2dFS0440                                                      10.742500 -73.04192 E04      B1-5III
2dFS0441                                                      10.748542 -73.66036 E04      B2III
2dFS0442                                                      10.754042 -73.28511 E04      A2II
2dFS0443                                                      10.782750 -73.47883 E04      B1-5IV
2dFS0444                                                      10.788875 -72.26806 E04      A3II
2dFS0445                                                      10.792542 -73.57531 E04      B1-3III
AzV2                                                          10.798500 -73.38633 L97      B8Ia+
2dFS0446                                                      10.799000 -73.60492 E04      B0.5V
2dFS0447                                                      10.800500 -72.47378 E04      A3III
2dFS0448                                                      10.813458 -73.15467 E04      B0.5IV
2dFS0449                                                      10.814458 -73.73494 E04      B1-5IV
2dFS0450                                                      10.816333 -73.69675 E04      A5II
2dFS0451                                                      10.818292 -72.33161 E04      B0.5V
2dFS0452                                                      10.819208 -73.48281 E04      B1-3V
2dFS0453                                                      10.826375 -73.44614 E04      B5III
2dFS0454                                                      10.827667 -73.84381 E04      B0-5IV
2dFS0455                                                      10.829583 -73.90600 E04      B0-5V
2dFS0456                                                      10.830417 -73.62894 E04      B1-5III
2dFS0457                                                      10.831750 -73.70958 E04      B1-5II
2dFS0458                                                      10.832167 -73.17867 E04      B0-5V
2dFS0459                                                      10.834708 -73.74617 E04      B8II
2dFS0460                                                      10.835042 -73.24117 E04      B0-5Ve?
2dFS0461                                                      10.838750 -73.12344 E04      B8V
