time,flux,err,mask,centroid_y,psf_width_y
5.991453823122938775e+04,9.981253440689981105e-01,2.912297416175338221e-04,0.000000000000000000e+00,2.523007106603528626e+01,1.185580973558839180e+00
5.991453835089174390e+04,9.977894134803690918e-01,2.911832232538384647e-04,0.000000000000000000e+00,2.523288653862735131e+01,1.177810075500080877e+00
5.991453847055410006e+04,9.976820916920883242e-01,2.912002862145513307e-04,0.000000000000000000e+00,2.520940362493862352e+01,1.184696325712567777e+00
5.991453859021647077e+04,9.972561204825131087e-01,2.910873842153817188e-04,0.000000000000000000e+00,2.522348383987661080e+01,1.185384767345549761e+00
5.991453870987881965e+04,9.973044567365336732e-01,2.911406281256354966e-04,0.000000000000000000e+00,2.522909869867947918e+01,1.182274565151930634e+00
5.991453882954118308e+04,9.978828338130079079e-01,2.912336025794469603e-04,0.000000000000000000e+00,2.523074875203505840e+01,1.175697819015620871e+00
5.991453894920353923e+04,9.978781149702671271e-01,2.911887967391808200e-04,0.000000000000000000e+00,2.522613546503632875e+01,1.194344378401817952e+00
5.991453906886589539e+04,9.975506017767973299e-01,2.911592167890398805e-04,0.000000000000000000e+00,2.521938982521239936e+01,1.180786939163772864e+00
5.991453918852826610e+04,9.973619118353104218e-01,2.911301973011120930e-04,0.000000000000000000e+00,2.522371310400767186e+01,1.195725797169981508e+00
5.991453930819061497e+04,9.976386018170988468e-01,2.911906026729788868e-04,0.000000000000000000e+00,2.523130160627038521e+01,1.184999182154111041e+00
5.991453942785297841e+04,9.969763696297576638e-01,2.911016448650286621e-04,0.000000000000000000e+00,2.520892528014629619e+01,1.182273020655884910e+00
5.991453954751534184e+04,9.978508222041445608e-01,2.911778677260234613e-04,0.000000000000000000e+00,2.522001901087415732e+01,1.179981043736100244e+00
5.991453966717769072e+04,9.976969496699072959e-01,2.911621436472643055e-04,0.000000000000000000e+00,2.521585792762717659e+01,1.181197047303045755e+00
5.991453978684006142e+04,9.976977148876490231e-01,2.911461704741881993e-04,0.000000000000000000e+00,2.522211379063697834e+01,1.184831166658096624e+00
5.991453990650241758e+04,9.974096741760246632e-01,2.911467620731910040e-04,0.000000000000000000e+00,2.522124178352004265e+01,1.179625812307576904e+00
5.991454002616477374e+04,9.979561671799257461e-01,2.912138618548265655e-04,0.000000000000000000e+00,2.522822075547324161e+01,1.187521772282329025e+00
5.991454014582713717e+04,9.979085323755017001e-01,2.911729792500528146e-04,0.000000000000000000e+00,2.522283085580687612e+01,1.186106625240681556e+00
5.991454026548949332e+04,9.972056161115575579e-01,2.911022053272418683e-04,0.000000000000000000e+00,2.522883593375366118e+01,1.182419311060084910e+00
5.991454038515185675e+04,9.977238598271589431e-01,2.911758749714876411e-04,0.000000000000000000e+00,2.523051900014059967e+01,1.186688438092391884e+00
5.991454050481421291e+04,9.973851234401435173e-01,2.911552624167578385e-04,0.000000000000000000e+00,2.521858779577019050e+01,1.178504189047796080e+00
5.991454062447656906e+04,9.977338714259469388e-01,2.912085997373804660e-04,0.000000000000000000e+00,2.522430304736453976e+01,1.187939328786376647e+00
5.991454074413893250e+04,9.973509437143451839e-01,2.911590299683021270e-04,0.000000000000000000e+00,2.522985616518514007e+01,1.179688703640495495e+00
5.991454086380129593e+04,9.981257266778690296e-01,2.912105613551266335e-04,0.000000000000000000e+00,2.523758306392659279e+01,1.176897975189377776e+00
5.991454098346365208e+04,9.979886251658051100e-01,2.912076656336918070e-04,0.000000000000000000e+00,2.523362739554932688e+01,1.187999954097204380e+00
5.991454110312600824e+04,9.977023699622447062e-01,2.911937163519411195e-04,0.000000000000000000e+00,2.523544458933569601e+01,1.187733098417383282e+00
5.991454122278836439e+04,9.975854191840469731e-01,2.912360001122478318e-04,0.000000000000000000e+00,2.523101814358501116e+01,1.185050285281339155e+00
5.991454134245072783e+04,9.977125728654682169e-01,2.911658177884397444e-04,0.000000000000000000e+00,2.523644236303761446e+01,1.188869889538276547e+00
5.991454146211309126e+04,9.980430831617598253e-01,2.911622993312124605e-04,0.000000000000000000e+00,2.523093872337233634e+01,1.187970097804226910e+00
5.991454158177544741e+04,9.975983003493665846e-01,2.911276752211527192e-04,0.000000000000000000e+00,2.523712882914734834e+01,1.178229483613366435e+00
5.991454170143780357e+04,9.982542194903381017e-01,2.912487661959929099e-04,0.000000000000000000e+00,2.522026396786041857e+01,1.178075250379589045e+00
5.991454182110016700e+04,9.977334888170759086e-01,2.911909763144543395e-04,0.000000000000000000e+00,2.522990431494496733e+01,1.177177001540442136e+00
5.991454194076252315e+04,9.972784393333142816e-01,2.910996521104928418e-04,0.000000000000000000e+00,2.522595433709994595e+01,1.184620281623375071e+00
5.991454206042488659e+04,9.981614368391507064e-01,2.911915367766675458e-04,0.000000000000000000e+00,2.523300032496994660e+01,1.181958257129244627e+00
5.991454218008725002e+04,9.975867583150950235e-01,2.911697410239320796e-04,0.000000000000000000e+00,2.522827348715351903e+01,1.187583232911281872e+00
5.991454229974959890e+04,9.979083410710661850e-01,2.912096583882276273e-04,0.000000000000000000e+00,2.523196407560728716e+01,1.179673483735637518e+00
5.991454241941196233e+04,9.971722016035009517e-01,2.911291697870545302e-04,0.000000000000000000e+00,2.522234184845502725e+01,1.186605346821496099e+00
5.991454253907431848e+04,9.973172741337080760e-01,2.911832543906280632e-04,0.000000000000000000e+00,2.522362115913267289e+01,1.177675263755199042e+00
5.991454265873668191e+04,9.974492104260151981e-01,2.911682153212406159e-04,0.000000000000000000e+00,2.523195390066666732e+01,1.183959179864377376e+00
5.991454277839904535e+04,9.972719349825093227e-01,2.911860567016940943e-04,0.000000000000000000e+00,2.522038439183165082e+01,1.184990686293710738e+00
5.991454289806139423e+04,9.973714132889369699e-01,2.911527714735880632e-04,0.000000000000000000e+00,2.522556562580143691e+01,1.185801529074735017e+00
5.991454301772375766e+04,9.978901671496996917e-01,2.911546085441757826e-04,0.000000000000000000e+00,2.522908838252488550e+01,1.181240965974410972e+00
5.991454313738612109e+04,9.971757088514839884e-01,2.911527403367984647e-04,0.000000000000000000e+00,2.523053342376199026e+01,1.182492838421482118e+00
5.991454325704847724e+04,9.982290948411506326e-01,2.911857453337978385e-04,0.000000000000000000e+00,2.523065985792480959e+01,1.185342224104745545e+00
5.991454337671084068e+04,9.973152335530635071e-01,2.911434304367014735e-04,0.000000000000000000e+00,2.522614169644335647e+01,1.182964172155066329e+00
