wavelength_um,counts
7.484619140625000000e+00,1.020540625000000000e+05
7.518928050994873047e+00,1.015850781250000000e+05
7.553006649017333984e+00,9.780980468750000000e+04
7.586858272552490234e+00,9.581858593750000000e+04
7.620485782623291016e+00,9.240183593750000000e+04
7.653892040252685547e+00,9.165354687500000000e+04
7.687080860137939453e+00,8.936223437500000000e+04
7.720055580139160156e+00,8.884126562500000000e+04
7.752818584442138672e+00,8.623539062500000000e+04
7.785373687744140625e+00,8.418892187500000000e+04
7.817724227905273438e+00,8.179974218750000000e+04
7.849872589111328125e+00,8.035871875000000000e+04
7.881823062896728516e+00,7.882732812500000000e+04
7.913578033447265625e+00,7.806617968750000000e+04
7.945140838623046875e+00,7.649500000000000000e+04
7.976514816284179688e+00,7.470575000000000000e+04
8.007703781127929688e+00,7.284336718750000000e+04
8.038709640502929688e+00,7.156843750000000000e+04
8.069536209106445312e+00,7.036957812500000000e+04
8.100187301635742188e+00,6.975314062500000000e+04
8.130664825439453125e+00,6.938696875000000000e+04
8.160973548889160156e+00,6.882726562500000000e+04
8.191115379333496094e+00,6.777528125000000000e+04
8.221094131469726562e+00,6.691542187500000000e+04
8.250912666320800781e+00,6.545343750000000000e+04
8.280574798583984375e+00,6.440099218750000000e+04
8.310082435607910156e+00,6.363705468750000000e+04
8.339440345764160156e+00,6.327519921875000000e+04
8.368651390075683594e+00,6.261582031250000000e+04
8.397718429565429688e+00,6.275441406250000000e+04
8.426644325256347656e+00,6.191814062500000000e+04
8.455431938171386719e+00,6.123460156250000000e+04
8.484086036682128906e+00,6.016364062500000000e+04
8.512608528137207031e+00,5.969671093750000000e+04
8.541003227233886719e+00,5.856949218750000000e+04
8.569272994995117188e+00,5.828384375000000000e+04
8.597421646118164062e+00,5.724398437500000000e+04
8.625452041625976562e+00,5.744632031250000000e+04
8.653366088867187500e+00,5.712608203125000000e+04
8.681165695190429688e+00,5.705262500000000000e+04
8.708851814270019531e+00,5.586283593750000000e+04
8.736424446105957031e+00,5.499943750000000000e+04
8.763885498046875000e+00,5.325194140625000000e+04
8.791234016418457031e+00,5.239489843750000000e+04
8.818470954895019531e+00,5.134409375000000000e+04
8.845598220825195312e+00,5.114250781250000000e+04
8.872614860534667969e+00,5.039347656250000000e+04
8.899522781372070312e+00,5.017091406250000000e+04
8.926322937011718750e+00,4.974435937500000000e+04
8.953014373779296875e+00,4.943288281250000000e+04
8.979598999023437500e+00,4.836353125000000000e+04
9.006077766418457031e+00,4.781963281250000000e+04
9.032449722290039062e+00,4.677050781250000000e+04
9.058716773986816406e+00,4.568332812500000000e+04
9.084879875183105469e+00,4.458984375000000000e+04
9.110939025878906250e+00,4.403311328125000000e+04
9.136895179748535156e+00,4.328283593750000000e+04
9.162748336791992188e+00,4.311216406250000000e+04
