planet,transit,bjd_tdb_minus_2450000,agol2021_bjd_tdb_minus_2450000,difference_days,uncertainty_days
1.0,2671.0,11293.089836847272,11293.098749832778,-0.009009217764287314,0.0004795243705831736
1.0,2672.0,11294.600518704867,11294.609623560153,-0.009207995520227996,0.00048638499153386296
1.0,2673.0,11296.11125299726,11296.120497287528,-0.009351953609893826,0.0004925588208913577
1.0,2674.0,11297.622618994383,11297.631371014904,-0.008861126659667207,0.000484595135790754
1.0,2675.0,11299.133444995388,11299.14224474228,-0.008908765347769076,0.0004851967911943779
1.0,2676.0,11300.64404158499,11300.653118469654,-0.009186385793327645,0.0004910271960510643
1.0,2677.0,11302.154656176157,11302.16399219703,-0.009441437309760659,0.0004953513322944154
1.0,2678.0,11303.665479569197,11303.674865924406,-0.009486897393799154,0.000494677817097338
1.0,2679.0,11305.176618954452,11305.18573965178,-0.009219412719630782,0.00048623256370078957
1.0,2680.0,11306.687310303416,11306.696613379156,-0.00940886138823771,0.000492920093063472
1.0,2681.0,11308.198032850436,11308.20748710653,-0.009565066839513747,0.0004995159946681115
1.0,2682.0,11309.70935248317,11309.718360833907,-0.009118871376358584,0.0004919897210838344
1.0,2683.0,11311.220180249165,11311.229234561282,-0.009163794412415882,0.0004920731850317858
1.0,2684.0,11312.730777331268,11312.740108288657,-0.00944029615357067,0.0004973880593667162
1.0,2685.0,11314.24137779026,11314.250982016034,-0.009710255665140721,0.0005022836485929847
1.0,2686.0,11315.752195978443,11315.761855743409,-0.009761345228980645,0.0005019667013143942
1.0,2687.0,11317.26339802067,11317.272729470784,-0.009432791924609774,0.000492995730353432
1.0,2688.0,11318.7741033622,11318.78360319816,-0.009608338421003282,0.0004994799824594691
1.0,2689.0,11320.284813383381,11320.294476925535,-0.009777198969459278,0.0005063896309080362
1.0,2690.0,11321.796081363082,11321.80535065291,-0.009381092024341342,0.0004993626475469159
1.0,2691.0,11323.306914043767,11323.316224380285,-0.009420279587175173,0.0004990139876365509
1.0,2692.0,11324.817509834364,11324.82709810766,-0.009697168775346654,0.0005036781357546472
1.0,2693.0,11326.328098854021,11326.337971835037,-0.009979529390420794,0.0005090241468662506
1.0,2694.0,11327.838915783694,11327.848845562412,-0.010032556106125412,0.0005091665736959387
1.0,2695.0,11329.35017688298,11329.359719289787,-0.009646419603086542,0.0004998889956569657
1.0,2696.0,11330.860897096192,11330.870593017164,-0.009807139640997775,0.0005061017958208326
1.0,2697.0,11332.371599001839,11332.381466744539,-0.009984225335756491,0.0005132754771126376
1.0,2698.0,11333.88280468987,11333.892340471913,-0.009648694788211287,0.00050680730612971
1.0,2699.0,11335.393636215003,11335.40321419929,-0.00968837780510512,0.0005060816713739947
1.0,2700.0,11336.90424087783,11336.914087926665,-0.009955658021226554,0.0005100033470667098
1.0,2701.0,11338.414825357591,11338.42496165404,-0.010243340765555331,0.0005156869652194501
1.0,2702.0,11339.925640934303,11339.935835381415,-0.010298589446847473,0.0005163403822920227
1.0,2703.0,11341.436960481988,11341.44670910879,-0.009855651910129382,0.0005070176366248629
1.0,2704.0,11342.947690869936,11342.957582836167,-0.010005817115597893,0.0005128666986330369
1.0,2705.0,11344.458378323987,11344.468456563542,-0.010197367708769889,0.0005201998949013174
1.0,2706.0,11345.969521533752,11345.979330290917,-0.009923019856614701,0.0005144473477391343
1.0,2707.0,11347.480352162833,11347.490204018293,-0.009962797747903096,0.0005133938415705186
1.0,2708.0,11348.990972330643,11349.001077745666,-0.010213874411874713,0.0005164121997234477
