source_row,time,x,y,energy_ev,pi,ccd_id,status
11074,255837424.59839565,2260.75048828125,4312.1357421875,4558.0419921875,313,6,0
11075,255837424.59839565,2509.5654296875,4099.48193359375,1821.6497802734375,125,6,0
11080,255837424.63943565,2310.1201171875,5116.03759765625,6833.82861328125,469,7,0
11082,255837424.63943565,2540.2734375,5324.169921875,1643.408935546875,113,7,0
11085,255837424.63943565,2421.110595703125,4609.55810546875,834.6998291015625,58,7,0
11092,255837424.72151566,3539.6806640625,4111.88720703125,6061.48046875,416,2,0
11094,255837424.76255566,4316.78271484375,4116.62646484375,6178.9599609375,424,1,0
11096,255837427.83940586,1801.75537109375,4253.45654296875,711.3026123046875,49,6,0
11097,255837427.83940586,2098.969482421875,3534.970703125,1470.4945068359375,101,6,0
11113,255837427.96252587,3431.935302734375,4143.6416015625,1142.71728515625,79,2,0
11114,255837427.96252587,3734.37451171875,4136.3720703125,2194.0126953125,151,2,0
11124,255837431.12146595,2750.723876953125,5223.92724609375,2676.384521484375,184,7,0
11126,255837431.16250595,3219.04052734375,4462.92138671875,1736.2860107421875,119,3,0
11130,255837431.24458596,4563.3125,4800.9521484375,1636.043701171875,113,1,0
11133,255837431.28562593,4340.5068359375,3639.771240234375,2972.3271484375,204,0,0
11135,255837431.28562593,4522.05908203125,3687.3017578125,6704.56494140625,460,0,0
11136,255837434.32142612,1891.579833984375,3664.418212890625,4790.55859375,329,6,0
11137,255837434.32142612,2281.538330078125,3929.09033203125,4295.81689453125,295,6,0
11138,255837434.32142612,2620.0947265625,4164.54150390625,5194.39404296875,356,6,0
11139,255837434.32142612,2497.940185546875,3511.9404296875,1296.4002685546875,89,6,0
11144,255837434.36248603,2427.58349609375,4561.0322265625,4531.23974609375,311,7,0
11145,255837434.36248603,2644.9599609375,5131.75927734375,2469.809326171875,170,7,0
11149,255837434.40352604,3862.832763671875,5183.1259765625,2249.62060546875,155,3,0
11150,255837434.40352604,3548.7265625,4827.47802734375,2078.27001953125,143,3,0
11152,255837434.40352604,3889.58056640625,4271.72998046875,911.213134765625,63,3,0
11153,255837434.44454613,3884.994140625,3207.05419921875,1364.232421875,94,2,0
11157,255837437.56245622,1771.3123779296875,3897.89111328125,551.2867431640625,38,6,0
11159,255837437.56245622,2195.48583984375,3945.28955078125,1270.1409912109375,87,6,0
11180,255837437.72661623,5068.38232421875,4578.21044921875,3228.554443359375,222,1,0
11181,255837437.72661623,4586.42236328125,4714.4501953125,1778.1739501953125,122,1,0
11193,255837440.84449643,2784.109375,5278.462890625,4844.37109375,332,7,0
11197,255837440.88553643,3625.82080078125,4320.1826171875,6835.8720703125,469,3,0
11200,255837440.96761644,5348.72900390625,4714.26904296875,6607.44482421875,453,1,0
11211,255837444.1265665,3867.71044921875,4902.9169921875,1197.6298828125,83,3,0
11215,255837444.2496666,4574.81298828125,3156.5166015625,2548.759765625,175,0,0
11216,255837447.28546682,2015.38134765625,3872.03271484375,744.2492065429688,51,6,0
11228,255837447.3265267,2217.213623046875,4488.0810546875,2401.024658203125,165,7,0
11252,255837450.64962682,3380.944091796875,3900.244384765625,5681.6240234375,390,2,0
