x_pixel,y_pixel,value,standard_deviation
24,8,0.0,
25,8,0.0,
26,8,0.0,
27,8,0.0,
28,8,5.7999999999999966e-05,
29,8,1.3333333333333328e-06,
30,8,1.0666666666666662e-05,
31,8,3.1999999999999985e-05,
32,8,1.0666666666666662e-05,
33,8,4.666666666666665e-06,
34,8,0.0,
35,8,0.0,
36,8,0.0,
37,8,0.0,
38,8,0.0,
39,8,0.0,
40,8,0.0,
41,8,0.0,
42,8,0.0,
43,8,0.0,
44,8,0.0,
45,8,0.0,
46,8,0.0,
47,8,0.0,
48,8,0.0,
49,8,0.0,
50,8,0.0,
51,8,0.0,
52,8,0.0,
53,8,0.0,
54,8,0.0,
55,8,0.0,
56,8,0.0,
57,8,0.0,
58,8,0.0,
59,8,0.0,
60,8,0.0,
61,8,0.0,
62,8,0.0,
63,8,0.0,
64,8,0.0,
65,8,0.0,
66,8,0.0,
67,8,0.0,
68,8,0.0,
69,8,0.0,
70,8,0.0,
71,8,3.1999999999999985e-05,
72,8,3.999999999999998e-06,
73,8,0.0,
74,8,0.0,
75,8,1.3333333333333328e-06,
76,8,2.1333333333333324e-05,
77,8,9.999999999999996e-06,
78,8,5.333333333333331e-06,
79,8,9.999999999999996e-06,
80,8,0.0,
81,8,0.0,
82,8,1.266666666666666e-05,
83,8,1.666666666666666e-05,
84,8,3.999999999999998e-05,
85,8,6.666666666666664e-06,
86,8,0.0,
87,8,0.0,
88,8,1.0666666666666662e-05,
89,8,6.666666666666664e-07,
90,8,0.0,
91,8,0.0,
92,8,0.0,
93,8,0.0,
94,8,0.0,
95,8,0.0,
96,8,0.0,
97,8,0.0,
98,8,0.0,
99,8,0.0,
100,8,0.0,
101,8,0.0,
102,8,0.0,
103,8,0.0,
104,8,0.0,
105,8,0.0,
106,8,0.0,
107,8,0.0,
108,8,0.0,
109,8,0.0,
110,8,0.0,
111,8,0.0,
112,8,0.0,
113,8,0.0,
114,8,0.0,
115,8,0.0,
116,8,0.0,
117,8,0.0,
118,8,0.0,
119,8,0.0,
120,8,0.0,
121,8,0.0,
122,8,0.0,
123,8,0.0,
124,8,0.0,
125,8,0.0,
126,8,0.0,
127,8,0.0,
0,9,0.0,
1,9,0.0,
2,9,0.0,
3,9,0.0,
4,9,0.0,
5,9,0.0,
6,9,0.0,
7,9,0.0,
8,9,0.0,
9,9,0.0,
10,9,0.0,
11,9,0.0,
12,9,0.0,
13,9,0.0,
14,9,0.0,
15,9,0.0,
16,9,0.0,
17,9,0.0,
18,9,0.0,
19,9,0.0,
20,9,0.0,
21,9,0.0,
22,9,0.0,
23,9,0.0,
24,9,0.0,
25,9,0.0,
26,9,0.0,
27,9,0.0,
28,9,1.3999999999999995e-05,
29,9,0.0,
30,9,1.7333333333333325e-05,
31,9,2.2666666666666657e-05,
32,9,0.0,
33,9,2.9999999999999984e-05,
34,9,0.0,
35,9,0.0,
36,9,0.0,
37,9,0.0,
38,9,0.0,
39,9,0.0,
40,9,0.0,
41,9,0.0,
42,9,0.0,
43,9,0.0,
44,9,0.0,
45,9,0.0,
46,9,0.0,
47,9,0.0,
48,9,0.0,
49,9,0.0,
50,9,0.0,
51,9,0.0,
52,9,0.0,
53,9,0.0,
54,9,0.0,
55,9,0.0,
56,9,0.0,
57,9,0.0,
58,9,0.0,
59,9,0.0,
60,9,0.0,
61,9,0.0,
62,9,0.0,
63,9,0.0,
64,9,0.0,
65,9,0.0,
66,9,0.0,
67,9,0.0,
68,9,0.0,
69,9,0.0,
70,9,0.0,
71,9,1.3333333333333328e-06,
72,9,8.666666666666663e-06,
73,9,0.0,
74,9,0.0,
75,9,2.866666666666665e-05,
76,9,3.333333333333332e-06,
77,9,1.799999999999999e-05,
78,9,1.5333333333333328e-05,
79,9,1.1333333333333329e-05,
80,9,4.266666666666665e-05,
81,9,1.999999999999999e-06,
82,9,1.1999999999999994e-05,
83,9,2.5999999999999988e-05,
84,9,6.133333333333331e-05,
85,9,1.0666666666666662e-05,
86,9,0.0,
87,9,0.0,
88,9,1.799999999999999e-05,
89,9,7.33333333333333e-06,
90,9,0.0,
91,9,0.0,
92,9,0.0,
93,9,0.0,
94,9,0.0,
95,9,0.0,
96,9,0.0,
97,9,0.0,
98,9,0.0,
99,9,0.0,
100,9,0.0,
101,9,0.0,
102,9,0.0,
103,9,0.0,
104,9,0.0,
105,9,0.0,
106,9,0.0,
107,9,0.0,
108,9,0.0,
109,9,0.0,
110,9,0.0,
111,9,0.0,
112,9,0.0,
113,9,0.0,
114,9,0.0,
115,9,0.0,
116,9,0.0,
117,9,0.0,
118,9,0.0,
119,9,0.0,
120,9,0.0,
121,9,0.0,
122,9,0.0,
123,9,0.0,
124,9,0.0,
125,9,0.0,
126,9,0.0,
127,9,0.0,
0,10,0.0,
1,10,0.0,
2,10,0.0,
3,10,0.0,
4,10,0.0,
5,10,0.0,
6,10,0.0,
7,10,0.0,
8,10,0.0,
9,10,0.0,
10,10,0.0,
11,10,0.0,
12,10,0.0,
13,10,0.0,
14,10,0.0,
15,10,0.0,
16,10,0.0,
17,10,0.0,
18,10,0.0,
19,10,0.0,
20,10,0.0,
21,10,0.0,
22,10,0.0,
23,10,0.0,
24,10,0.0,
25,10,0.0,
26,10,0.0,
27,10,0.0,
28,10,1.466666666666666e-05,
29,10,9.33333333333333e-06,
30,10,5.599999999999998e-05,
31,10,3.266666666666665e-05,
32,10,7.999999999999996e-06,
33,10,6.666666666666664e-07,
34,10,0.0,
35,10,0.0,
36,10,0.0,
37,10,0.0,
38,10,0.0,
39,10,0.0,
40,10,0.0,
41,10,0.0,
42,10,0.0,
43,10,0.0,
44,10,0.0,
45,10,0.0,
46,10,0.0,
47,10,0.0,
48,10,0.0,
49,10,0.0,
50,10,0.0,
51,10,0.0,
52,10,0.0,
53,10,0.0,
54,10,0.0,
55,10,0.0,
56,10,0.0,
57,10,0.0,
58,10,0.0,
59,10,0.0,
60,10,0.0,
61,10,0.0,
62,10,0.0,
63,10,0.0,
64,10,0.0,
65,10,0.0,
66,10,0.0,
67,10,0.0,
68,10,0.0,
69,10,0.0,
70,10,0.0,
71,10,1.3333333333333328e-06,
72,10,1.3333333333333328e-05,
73,10,0.0,
74,10,0.0,
75,10,5.999999999999997e-06,
76,10,6.666666666666664e-07,
77,10,3.266666666666665e-05,
78,10,2.799999999999999e-05,
79,10,2.799999999999999e-05,
80,10,9.33333333333333e-06,
81,10,0.0,
82,10,3.333333333333332e-06,
83,10,2.533333333333332e-05,
84,10,2.6666666666666656e-05,
85,10,2.2666666666666657e-05,
86,10,5.333333333333331e-06,
87,10,0.0,
88,10,4.7999999999999974e-05,
89,10,0.0,
90,10,0.0,
91,10,0.0,
92,10,0.0,
93,10,0.0,
94,10,0.0,
95,10,0.0,
96,10,0.0,
97,10,0.0,
98,10,0.0,
99,10,0.0,
100,10,0.0,
101,10,0.0,
102,10,0.0,
103,10,0.0,
104,10,0.0,
105,10,0.0,
106,10,0.0,
107,10,0.0,
108,10,0.0,
109,10,0.0,
110,10,0.0,
111,10,0.0,
112,10,0.0,
113,10,0.0,
114,10,0.0,
115,10,0.0,
116,10,0.0,
117,10,0.0,
118,10,0.0,
119,10,0.0,
120,10,0.0,
121,10,0.0,
122,10,0.0,
123,10,0.0,
124,10,0.0,
125,10,0.0,
126,10,0.0,
127,10,0.0,
0,11,0.0,
1,11,0.0,
2,11,0.0,
3,11,0.0,
4,11,0.0,
5,11,0.0,
6,11,0.0,
7,11,0.0,
8,11,0.0,
9,11,0.0,
10,11,0.0,
11,11,0.0,
12,11,0.0,
13,11,0.0,
14,11,0.0,
15,11,0.0,
16,11,0.0,
17,11,0.0,
18,11,0.0,
19,11,0.0,
20,11,0.0,
21,11,0.0,
22,11,0.0,
23,11,0.0,
24,11,0.0,
25,11,0.0,
26,11,0.0,
27,11,0.0,
28,11,0.0,
29,11,9.33333333333333e-06,
