time,flux,error,mask,visit1,visit2,visit3,visit4,visit5,visit6,visit7,visit8,visit9
60271.87107520,1.001446780,8.824477e-4,0,0,0,0,0,0,0,0,0,0
60271.87153584,1.000400569,8.821820e-4,0,0,0,0,0,0,0,0,0,0
60271.87199649,1.000184906,8.826467e-4,0,0,0,0,0,0,0,0,0,0
60271.87245714,1.000439302,8.825904e-4,0,0,0,0,0,0,0,0,0,0
60271.87291779,0.998727286,8.822952e-4,0,0,0,0,0,0,0,0,0,0
60271.87337843,1.001018900,8.821603e-4,0,0,0,0,0,0,0,0,0,0
60271.87383908,0.999671301,8.826914e-4,0,0,0,0,0,0,0,0,0,0
60271.87429973,1.002397913,8.822612e-4,0,0,0,0,0,0,0,0,0,0
60271.87476037,1.001443567,8.821900e-4,0,0,0,0,0,0,0,0,0,0
60271.87522102,1.001174927,8.824493e-4,0,0,0,0,0,0,0,0,0,0
60271.87568167,1.000792619,8.828016e-4,0,0,0,0,0,0,0,0,0,0
60271.87614231,1.001826258,8.819459e-4,0,0,0,0,0,0,0,0,0,0
60271.87660296,1.001451828,8.822190e-4,0,0,0,0,0,0,0,0,0,0
60271.87706361,0.998994486,8.826562e-4,0,0,0,0,0,0,0,0,0,0
60271.87752426,1.000885284,8.824911e-4,0,0,0,0,0,0,0,0,0,0
60271.87798490,1.000282135,8.819075e-4,0,0,0,0,0,0,0,0,0,0
60271.87844555,1.000375917,8.833527e-4,0,0,0,0,0,0,0,0,0,0
60271.87890620,0.999964832,8.822838e-4,0,0,0,0,0,0,0,0,0,0
60271.87936684,1.000640805,8.826156e-4,0,0,0,0,0,0,0,0,0,0
60271.87982749,1.001536109,8.824883e-4,0,0,0,0,0,0,0,0,0,0
60271.88028814,1.001216153,8.822157e-4,0,0,0,0,0,0,0,0,0,0
60271.88074879,1.001181670,8.824185e-4,0,0,0,0,0,0,0,0,0,0
60271.88120943,1.000518044,8.823805e-4,0,0,0,0,0,0,0,0,0,0
60271.88167008,1.000896695,8.822613e-4,0,0,0,0,0,0,0,0,0,0
60271.88213073,1.000549273,8.821246e-4,0,0,0,0,0,0,0,0,0,0
60271.88259137,1.001348240,8.824381e-4,0,0,0,0,0,0,0,0,0,0
60271.88305202,0.999525939,8.825707e-4,0,0,0,0,0,0,0,0,0,0
60271.88351267,1.000909466,8.822590e-4,0,0,0,0,0,0,0,0,0,0
60271.88397331,0.999811673,8.823577e-4,0,0,0,0,0,0,0,0,0,0
60271.88443396,1.001901931,8.823670e-4,0,0,0,0,0,0,0,0,0,0
60271.88489461,1.000796504,8.823165e-4,0,0,0,0,0,0,0,0,0,0
60271.88535526,0.998793345,8.852049e-4,0,0,0,0,0,0,0,0,0,0
60271.88581590,1.000435067,8.826732e-4,0,0,0,0,0,0,0,0,0,0
60271.88627655,1.000350275,8.828872e-4,0,0,0,0,0,0,0,0,0,0
60271.88673720,0.999791507,8.829058e-4,0,0,0,0,0,0,0,0,0,0
60271.88719784,1.001784515,8.823560e-4,0,0,0,0,0,0,0,0,0,0
60271.88765849,1.002067446,8.829846e-4,0,0,0,0,0,0,0,0,0,0
60271.88811914,1.001903385,8.827939e-4,0,0,0,0,0,0,0,0,0,0
60271.88857979,1.000769223,8.827675e-4,0,0,0,0,0,0,0,0,0,0
60271.88904043,1.000459087,8.829553e-4,0,0,0,0,0,0,0,0,0,0
60271.88950108,1.002352182,8.828474e-4,0,0,0,0,0,0,0,0,0,0
60271.88996173,1.000405888,8.826819e-4,0,0,0,0,0,0,0,0,0,0
60271.89042237,1.002120247,8.827640e-4,0,0,0,0,0,0,0,0,0,0
60271.89088302,1.001707786,8.825138e-4,0,0,0,0,0,0,0,0,0,0
60271.89134367,1.001715017,8.823878e-4,0,0,0,0,0,0,0,0,0,0
60271.89180432,1.000733746,8.830441e-4,0,0,0,0,0,0,0,0,0,0
60271.89226496,0.999877416,8.828799e-4,0,0,0,0,0,0,0,0,0,0
60271.89272561,1.001705555,8.827652e-4,0,0,0,0,0,0,0,0,0,0
60271.89318626,1.000890971,8.828017e-4,0,0,0,0,0,0,0,0,0,0
60271.89364690,0.999738201,8.828738e-4,0,0,0,0,0,0,0,0,0,0
60271.89410755,0.999775396,8.826293e-4,0,0,0,0,0,0,0,0,0,0
60271.89456820,0.999617320,8.824118e-4,0,0,0,0,0,0,0,0,0,0
60271.89502884,1.001307953,8.833975e-4,0,0,0,0,0,0,0,0,0,0
60271.89548949,0.999584933,8.828558e-4,0,0,0,0,0,0,0,0,0,0
60271.89595014,0.998978035,8.826676e-4,0,0,0,0,0,0,0,0,0,0
60271.89641079,1.000818265,8.830491e-4,0,0,0,0,0,0,0,0,0,0
60271.89687143,1.000792001,8.824837e-4,0,0,0,0,0,0,0,0,0,0
60271.89733208,1.001798687,8.825609e-4,0,0,0,0,0,0,0,0,0,0
60271.89779273,1.001141174,8.826929e-4,0,0,0,0,0,0,0,0,0,0
60271.89825337,0.999853691,8.830992e-4,0,0,0,0,0,0,0,0,0,0
60271.89871402,1.003496855,8.851727e-4,0,0,0,0,0,0,0,0,0,0
60271.89917467,1.000030365,8.827219e-4,0,0,0,0,0,0,0,0,0,0
60271.89963532,1.000115783,8.826832e-4,0,0,0,0,0,0,0,0,0,0
60271.90009596,1.001841685,8.826147e-4,0,0,0,0,0,0,0,0,0,0
60271.90055661,1.000484862,8.823823e-4,0,0,0,0,0,0,0,0,0,0
60271.90101726,1.001401003,8.825241e-4,0,0,0,0,0,0,0,0,0,0
60271.90147790,0.999297663,8.826935e-4,0,0,0,0,0,0,0,0,0,0
60271.90193855,1.000440886,8.825661e-4,0,0,0,0,0,0,0,0,0,0
60271.90239920,1.001628113,8.824590e-4,0,0,0,0,0,0,0,0,0,0
60271.90285984,1.001355004,8.827844e-4,0,0,0,0,0,0,0,0,0,0
60271.90332049,1.001012999,8.825684e-4,0,0,0,0,0,0,0,0,0,0
60271.90378114,1.001056255,8.823131e-4,0,0,0,0,0,0,0,0,0,0
60271.90424179,1.000120158,8.827213e-4,0,0,0,0,0,0,0,0,0,0
60271.90470243,1.001077287,8.827976e-4,0,0,0,0,0,0,0,0,0,0
60271.90516308,1.001231517,8.840086e-4,0,0,0,0,0,0,0,0,0,0
60271.90562373,0.999930973,8.828852e-4,0,0,0,0,0,0,0,0,0,0
60271.90608437,1.002409696,8.824751e-4,0,0,0,0,0,0,0,0,0,0
60271.90654502,1.000907432,8.824326e-4,0,0,0,0,0,0,0,0,0,0
60271.90700567,1.002075030,8.826248e-4,0,0,0,0,0,0,0,0,0,0
60271.90746632,1.000013038,8.827411e-4,0,0,0,0,0,0,0,0,0,0
60271.90792696,1.000185271,8.823933e-4,0,0,0,0,0,0,0,0,0,0
60271.90838761,1.001892230,8.826379e-4,0,0,0,0,0,0,0,0,0,0
