
> cssearth@0.1.0 test:browser /Users/ekrof/fed/cssEarth-comets
> node site/test/dom-cleanliness-browser.mjs http://127.0.0.1:53135

PASS virtanen DPR 1: 72807 nodes; retained interaction
PASS mr-spock DPR 1: 72807 nodes; retained interaction
PASS educatio DPR 1: 72807 nodes; retained interaction
PASS hopi DPR 1: 72807 nodes; retained interaction
PASS schaber DPR 1: 72807 nodes; retained interaction
PASS iau DPR 1: 72807 nodes; retained interaction
PASS united-nations DPR 1: 72807 nodes; retained interaction
PASS tartaglia DPR 1: 72807 nodes; retained interaction
PASS raup DPR 1: 72807 nodes; retained interaction
PASS asteroid-2001-qw16 DPR 1: 72807 nodes; retained interaction
PASS asteroid-1999-fr33 DPR 1: 72807 nodes; retained interaction
PASS vesta DPR 1: 72827 nodes; retained interaction
PASS phobos DPR 1: 73351 nodes; retained interaction
PASS deimos DPR 1: 73351 nodes; retained interaction
PASS ceres DPR 1: 72459 nodes; retained interaction
PASS jupiter DPR 1: 72797 nodes; retained interaction
PASS io DPR 1: 72459 nodes; retained interaction
PASS europa DPR 1: 72459 nodes; retained interaction
PASS ganymede DPR 1: 72459 nodes; retained interaction
PASS callisto DPR 1: 72459 nodes; retained interaction
PASS saturn DPR 1: 72972 nodes; retained interaction
PASS pan DPR 1: 72807 nodes; retained interaction
PASS atlas DPR 1: 72807 nodes; retained interaction
PASS prometheus DPR 1: 72727 nodes; retained interaction
PASS pandora DPR 1: 72647 nodes; retained interaction
PASS janus DPR 1: 72727 nodes; retained interaction
PASS epimetheus DPR 1: 72727 nodes; retained interaction
PASS hyperion DPR 1: 73207 nodes; retained interaction
PASS mimas DPR 1: 72763 nodes; retained interaction
PASS enceladus DPR 1: 72459 nodes; retained interaction
PASS tethys DPR 1: 72459 nodes; retained interaction
PASS dione DPR 1: 72459 nodes; retained interaction
PASS rhea DPR 1: 72459 nodes; retained interaction
PASS titan DPR 1: 72459 nodes; retained interaction
PASS iapetus DPR 1: 72459 nodes; retained interaction
PASS phoebe DPR 1: 73351 nodes; retained interaction
PASS uranus DPR 1: 73072 nodes; retained interaction
PASS miranda DPR 1: 72459 nodes; retained interaction
PASS ariel DPR 1: 72459 nodes; retained interaction
PASS umbriel DPR 1: 72459 nodes; retained interaction
PASS titania DPR 1: 72459 nodes; retained interaction
PASS oberon DPR 1: 72459 nodes; retained interaction
PASS neptune DPR 1: 72734 nodes; retained interaction
PASS triton DPR 1: 72459 nodes; retained interaction
PASS pluto DPR 1: 72473 nodes; retained interaction
PASS charon DPR 1: 72459 nodes; retained interaction
PASS styx DPR 1: 72527 nodes; retained interaction
PASS nix DPR 1: 72807 nodes; retained interaction
PASS kerberos DPR 1: 72519 nodes; retained interaction
PASS hydra DPR 1: 72807 nodes; retained interaction
PASS haumea DPR 1: 73467 nodes; retained interaction
PASS makemake DPR 1: 72458 nodes; retained interaction
PASS eris DPR 1: 72458 nodes; retained interaction
NAVIGATION PASS DPR 1: six hops; retained universe and shell; no node or stylesheet growth
PASS polymele DPR 2: 72519 nodes; retained interaction
PASS leucus DPR 2: 72519 nodes; retained interaction
PASS orus DPR 2: 72519 nodes; retained interaction
PASS eurybates DPR 2: 72519 nodes; retained interaction
PASS patroclus DPR 2: 72519 nodes; retained interaction
PASS hiiaka DPR 2: 72519 nodes; retained interaction
PASS squannit DPR 2: 72807 nodes; retained interaction
PASS romulus DPR 2: 72519 nodes; retained interaction
PASS menoetius DPR 2: 72519 nodes; retained interaction
PASS caliban DPR 2: 72519 nodes; retained interaction
PASS sycorax DPR 2: 72519 nodes; retained interaction
PASS prospero DPR 2: 72519 nodes; retained interaction
PASS setebos DPR 2: 72519 nodes; retained interaction
PASS paaliaq DPR 2: 72519 nodes; retained interaction
PASS tarvos DPR 2: 72519 nodes; retained interaction
PASS ijiraq DPR 2: 72519 nodes; retained interaction
PASS suttungr DPR 2: 72519 nodes; retained interaction
PASS mundilfari DPR 2: 72519 nodes; retained interaction
PASS skathi DPR 2: 72519 nodes; retained interaction
PASS erriapus DPR 2: 72519 nodes; retained interaction
PASS thrymr DPR 2: 72519 nodes; retained interaction
PASS bebhionn DPR 2: 72519 nodes; retained interaction
PASS bergelmir DPR 2: 72519 nodes; retained interaction
PASS bestla DPR 2: 72519 nodes; retained interaction
PASS fornjot DPR 2: 72519 nodes; retained interaction
PASS hati DPR 2: 72519 nodes; retained interaction
PASS hyrrokkin DPR 2: 72519 nodes; retained interaction
PASS loge DPR 2: 72519 nodes; retained interaction
PASS skoll DPR 2: 72519 nodes; retained interaction
PASS greip DPR 2: 72519 nodes; retained interaction
PASS tarqeq DPR 2: 72519 nodes; retained interaction
PASS albiorix DPR 2: 72519 nodes; retained interaction
PASS kiviuq DPR 2: 72487 nodes; retained interaction
PASS comet-8p DPR 2: 73043 nodes; retained interaction
PASS comet-1p DPR 2: 73007 nodes; retained interaction
PASS comet-81p DPR 2: 72999 nodes; retained interaction
PASS comet-103p DPR 2: 73007 nodes; retained interaction
PASS comet-9p DPR 2: 73007 nodes; retained interaction
PASS comet-67p DPR 2: 73007 nodes; retained interaction
PASS ymir DPR 2: 72487 nodes; retained interaction
PASS siarnaq DPR 2: 72519 nodes; retained interaction
PASS himalia DPR 2: 72519 nodes; retained interaction
PASS nereid DPR 2: 72519 nodes; retained interaction
PASS aegaeon DPR 2: 72487 nodes; retained interaction
PASS anthe DPR 2: 72519 nodes; retained interaction
PASS polydeuces DPR 2: 72519 nodes; retained interaction
PASS rosalind DPR 2: 72519 nodes; retained interaction
PASS desdemona DPR 2: 72519 nodes; retained interaction
PASS cressida DPR 2: 72519 nodes; retained interaction
PASS bianca DPR 2: 72519 nodes; retained interaction
PASS ophelia DPR 2: 72527 nodes; retained interaction
PASS cordelia DPR 2: 72519 nodes; retained interaction
PASS belinda DPR 2: 72519 nodes; retained interaction
PASS juliet DPR 2: 72531 nodes; retained interaction
PASS portia DPR 2: 72519 nodes; retained interaction
PASS pallene DPR 2: 72519 nodes; retained interaction
PASS methone DPR 2: 72519 nodes; retained interaction
PASS puck DPR 2: 72519 nodes; retained interaction
PASS amalthea DPR 2: 72807 nodes; retained interaction
PASS thebe DPR 2: 72731 nodes; retained interaction
PASS metis DPR 2: 72519 nodes; retained interaction
PASS adrastea DPR 2: 72519 nodes; retained interaction
PASS naiad DPR 2: 72527 nodes; retained interaction
PASS thalassa DPR 2: 72523 nodes; retained interaction
PASS despina DPR 2: 72523 nodes; retained interaction
PASS galatea DPR 2: 72519 nodes; retained interaction
PASS proteus DPR 2: 73107 nodes; retained interaction
PASS larissa DPR 2: 72607 nodes; retained interaction
PASS daphnis DPR 2: 72407 nodes; retained interaction
PASS calypso DPR 2: 72607 nodes; retained interaction
PASS telesto DPR 2: 72607 nodes; retained interaction
PASS helene DPR 2: 72807 nodes; retained interaction
PASS sun DPR 2: 72520 nodes; retained interaction
PASS mercury DPR 2: 72909 nodes; retained interaction
PASS venus DPR 2: 72456 nodes; retained interaction
PASS earth DPR 2: 73016 nodes; retained interaction
PASS moon DPR 2: 72473 nodes; retained interaction
PASS mars DPR 2: 72525 nodes; retained interaction
PASS ryugu DPR 2: 72809 nodes; retained interaction
PASS bennu DPR 2: 72823 nodes; retained interaction
PASS itokawa DPR 2: 72813 nodes; retained interaction
PASS eros DPR 2: 72819 nodes; retained interaction
PASS ida DPR 2: 72807 nodes; retained interaction
PASS gaspra DPR 2: 72827 nodes; retained interaction
PASS mathilde DPR 2: 72819 nodes; retained interaction
PASS lutetia DPR 2: 72831 nodes; retained interaction
PASS steins DPR 2: 72807 nodes; retained interaction
PASS didymos DPR 2: 72807 nodes; retained interaction
PASS dimorphos DPR 2: 72835 nodes; retained interaction
PASS kleopatra DPR 2: 72827 nodes; retained interaction
PASS toutatis DPR 2: 72807 nodes; retained interaction
PASS pallas DPR 2: 72843 nodes; retained interaction
PASS hygiea DPR 2: 72859 nodes; retained interaction
PASS juno DPR 2: 72823 nodes; retained interaction
PASS psyche DPR 2: 72839 nodes; retained interaction
PASS interamnia DPR 2: 72855 nodes; retained interaction
PASS davida DPR 2: 72843 nodes; retained interaction
PASS sylvia DPR 2: 72839 nodes; retained interaction
PASS eunomia DPR 2: 72843 nodes; retained interaction
PASS euphrosyne DPR 2: 72859 nodes; retained interaction
PASS bamberga DPR 2: 72867 nodes; retained interaction
PASS fortuna DPR 2: 72835 nodes; retained interaction
PASS themis DPR 2: 72863 nodes; retained interaction
PASS amphitrite DPR 2: 72851 nodes; retained interaction
PASS egeria DPR 2: 72807 nodes; retained interaction
PASS elektra DPR 2: 72839 nodes; retained interaction
PASS iris DPR 2: 72807 nodes; retained interaction
PASS hebe DPR 2: 72831 nodes; retained interaction
PASS eugenia DPR 2: 72839 nodes; retained interaction
PASS daphne DPR 2: 72835 nodes; retained interaction
PASS eleonora DPR 2: 72839 nodes; retained interaction
PASS nemesis DPR 2: 72827 nodes; retained interaction
PASS kalliope DPR 2: 72827 nodes; retained interaction
PASS nemausa DPR 2: 72807 nodes; retained interaction
PASS parthenope DPR 2: 72835 nodes; retained interaction
PASS melpomene DPR 2: 72839 nodes; retained interaction
PASS julia DPR 2: 72835 nodes; retained interaction
PASS victoria DPR 2: 72827 nodes; retained interaction
PASS urania DPR 2: 72835 nodes; retained interaction
PASS flora DPR 2: 72835 nodes; retained interaction
PASS europa-52 DPR 2: 72883 nodes; retained interaction
PASS metis-9 DPR 2: 72827 nodes; retained interaction
PASS camilla DPR 2: 72851 nodes; retained interaction
PASS thisbe DPR 2: 72859 nodes; retained interaction
PASS doris DPR 2: 72839 nodes; retained interaction
PASS hermione DPR 2: 72851 nodes; retained interaction
PASS diotima DPR 2: 72843 nodes; retained interaction
PASS herculina DPR 2: 72847 nodes; retained interaction
PASS nausikaa DPR 2: 72807 nodes; retained interaction
PASS astraea DPR 2: 72839 nodes; retained interaction
PASS irene DPR 2: 72839 nodes; retained interaction
PASS nysa DPR 2: 72831 nodes; retained interaction
PASS sappho DPR 2: 72831 nodes; retained interaction
PASS betulia DPR 2: 72839 nodes; retained interaction
PASS castalia DPR 2: 72831 nodes; retained interaction
PASS asteroid-1998-wt24 DPR 2: 72831 nodes; retained interaction
PASS asteroid-1994-cc DPR 2: 72831 nodes; retained interaction
PASS fides DPR 2: 72807 nodes; retained interaction
PASS penelope DPR 2: 72807 nodes; retained interaction
PASS alphonsina DPR 2: 72807 nodes; retained interaction
PASS angelina DPR 2: 72807 nodes; retained interaction
PASS ganymed DPR 2: 72867 nodes; retained interaction
PASS moshup DPR 2: 72807 nodes; retained interaction
PASS cybele DPR 2: 72859 nodes; retained interaction
PASS aurora DPR 2: 72839 nodes; retained interaction
PASS palma DPR 2: 72807 nodes; retained interaction
PASS thule DPR 2: 72807 nodes; retained interaction
PASS hektor DPR 2: 72807 nodes; retained interaction
PASS hekate DPR 2: 72807 nodes; retained interaction
PASS phaethon DPR 2: 72807 nodes; retained interaction
PASS harmonia DPR 2: 72843 nodes; retained interaction
PASS panopaea DPR 2: 72807 nodes; retained interaction
PASS desdemona-666 DPR 2: 72807 nodes; retained interaction
PASS asteroid-1950-da DPR 2: 72851 nodes; retained interaction
PASS apophis DPR 2: 72823 nodes; retained interaction
PASS donaldjohanson DPR 2: 72807 nodes; retained interaction
PASS geographos DPR 2: 72819 nodes; retained interaction
PASS bacchus DPR 2: 72531 nodes; retained interaction
PASS mithra DPR 2: 72819 nodes; retained interaction
PASS nereus DPR 2: 72835 nodes; retained interaction
PASS golevka DPR 2: 72807 nodes; retained interaction
PASS yorp DPR 2: 72587 nodes; retained interaction
PASS asteroid-1996-hw1 DPR 2: 72823 nodes; retained interaction
PASS asteroid-2008-ev5 DPR 2: 72819 nodes; retained interaction
