YYYY MM DD hh mm ss.sss   BX CSE BY CSE BZ CSE BT CSE X CSE      Y CSE      Z CSE      R CSE      
                           nT     nT     nT     nT    km         km         km         km         
1986 03 08 22 09 20.000    6.7    0.8   -1.3    6.8  -978070.0  2317739.5  -327135.5  2536839.5
1986 03 08 22 10 20.000    3.7   -1.2   -1.5    4.2  -976323.9  2313519.2  -326533.2  2532233.0
1986 03 08 22 11 18.000    6.4   -1.2   -2.8    7.1  -974635.8  2309439.5  -325951.0  2527779.5
1986 03 08 22 12 18.000    6.0   -1.4   -2.5    6.6  -972889.4  2305219.2  -325348.8  2523173.0
1986 03 08 22 13 18.000    4.8   -1.7   -5.4    7.4  -971142.8  2300999.0  -324746.5  2518566.0
1986 03 08 22 14 18.000   -2.1    0.6   -4.3    4.8  -969395.9  2296778.8  -324144.3  2513959.0
1986 03 08 22 15 18.000    5.5    2.0   -2.9    6.5  -967648.9  2292558.8  -323542.1  2509352.5
1986 03 08 22 16 19.000    7.8    1.9   -0.8    8.1  -965872.7  2288268.2  -322929.9  2504668.8
1986 03 08 22 17 19.000   -0.1    1.7  -11.2   11.3  -964125.4  2284048.2  -322327.7  2500061.8
1986 03 08 22 18 19.000    8.1    1.7   -7.3   11.0  -962377.9  2279828.2  -321725.6  2495455.0
1986 03 08 22 19 19.000   10.4    3.2   -3.7   11.5  -960630.3  2275608.5  -321123.4  2490848.2
1986 03 08 22 20 19.000    1.0    0.1   -6.1    6.2  -958882.5  2271388.8  -320521.4  2486241.5
1986 03 08 22 21 19.000   -0.1   -0.8   -7.8    7.8  -957134.6  2267169.2  -319919.4  2481635.0
1986 03 08 22 22 19.000   -0.2   -0.9   -6.6    6.7  -955386.4  2262949.8  -319317.4  2477028.2
1986 03 08 22 23 19.000    5.3    1.5   -2.5    6.0  -953638.1  2258730.2  -318715.5  2472421.5
1986 03 08 22 24 19.000    5.2   -0.3   -2.5    5.8  -951889.8  2254511.0  -318113.6  2467814.8
1986 03 08 22 25 19.000    4.8   -0.8   -3.4    6.0  -950141.1  2250291.5  -317511.7  2463208.0
1986 03 08 22 26 20.000    6.0   -0.6   -3.5    7.0  -948363.2  2246002.0  -316899.8  2458524.8
1986 03 08 22 27 20.000    2.2    0.5   -2.2    3.2  -946614.4  2241782.8  -316297.9  2453918.0
1986 03 08 22 28 20.000    2.6   -0.1   -3.0    4.0  -944865.4  2237563.8  -315696.0  2449311.2
1986 03 08 22 29 20.000    3.6    0.4   -3.3    4.9  -943116.2  2233344.8  -315094.2  2444704.8
1986 03 08 22 30 20.000    5.6    2.2   -2.2    6.4  -941366.9  2229125.8  -314492.4  2440098.0
1986 03 08 22 31 18.000    6.5    0.7    0.0    6.6  -939675.9  2225047.2  -313910.6  2435644.8
1986 03 08 22 32 18.000    7.8   -0.4   -2.6    8.2  -937926.4  2220828.2  -313308.8  2431038.0
1986 03 08 22 33 18.000    6.6    0.2   -0.8    6.7  -936176.7  2216609.2  -312706.9  2426431.2
1986 03 08 22 34 18.000    3.5   -0.2   -0.2    3.5  -934426.9  2212390.5  -312105.1  2421824.5
1986 03 08 22 35 18.000    6.0    0.8   -0.2    6.1  -932676.9  2208171.5  -311503.3  2417217.8
1986 03 08 22 36 19.000    4.5    0.0   -0.9    4.5  -930897.6  2203882.5  -310891.5  2412534.2
1986 03 08 22 37 19.000    3.8   -1.3   -2.9    4.9  -929147.4  2199663.8  -310289.7  2407927.5
1986 03 08 22 38 19.000    5.0   -0.8   -3.5    6.2  -927396.9  2195445.2  -309688.0  2403321.0
1986 03 08 22 39 19.000    7.0    3.5    1.0    7.9  -925646.3  2191226.8  -309086.2  2398714.2
1986 03 08 22 40 19.000    7.0    4.5    2.6    8.7  -923895.6  2187008.2  -308484.4  2394107.5
1986 03 08 22 41 19.000    9.1    4.0    0.7   10.0  -922144.6  2182789.8  -307882.6  2389500.8
1986 03 08 22 42 19.000    8.6    4.7    1.8    9.9  -920393.4  2178571.5  -307280.9  2384894.0
1986 03 08 22 43 19.000    9.9    4.4    0.2   10.8  -918642.0  2174353.2  -306679.1  2380287.2
1986 03 08 22 44 19.000    9.1    3.0   -2.3    9.9  -916890.5  2170135.0  -306077.4  2375680.5
1986 03 08 22 45 19.000   10.0    3.9    0.0   10.8  -915138.9  2165917.0  -305475.7  2371073.8
1986 03 08 22 46 20.000   11.1    3.6   -1.2   11.7  -913357.8  2161628.5  -304863.9  2366390.0
1986 03 08 22 47 20.000   12.4    4.0   -3.1   13.4  -911605.8  2157410.8  -304262.3  2361783.8
1986 03 08 22 48 20.000   11.9    3.5   -5.1   13.5  -909853.6  2153192.8  -303660.6  2357176.8
1986 03 08 22 49 20.000   10.2    1.6   -9.3   13.9  -908101.3  2148974.8  -303059.0  2352569.8
1986 03 08 22 50 20.000   11.2    2.7   -9.8   15.2  -906348.8  2144757.0  -302457.5  2347963.2
1986 03 08 22 51 18.000    9.4    1.7  -10.5   14.2  -904654.6  2140680.0  -301876.2  2343510.2
1986 03 08 22 52 18.000    8.4    1.9  -10.0   13.2  -902901.8  2136462.2  -301274.8  2338903.2
1986 03 08 22 53 18.000    7.7    1.6   -9.7   12.6  -901148.8  2132244.8  -300673.5  2334296.8
1986 03 08 22 54 18.000    6.8    1.7   -9.6   11.9  -899395.6  2128027.0  -300072.2  2329689.8
1986 03 08 22 55 18.000    6.1    1.1   -7.0    9.3  -897642.4  2123809.5  -299470.9  2325083.0
1986 03 08 22 56 19.000    4.7    3.7   -2.6    6.6  -895859.8  2119521.8  -298859.6  2320399.5
1986 03 08 22 57 19.000    6.9    1.9   -6.7    9.8  -894106.1  2115304.5  -298258.3  2315793.0
1986 03 08 22 58 19.000    7.6    1.5   -8.2   11.3  -892352.4  2111087.0  -297657.1  2311186.0
1986 03 08 22 59 19.000    8.3    2.5   -9.9   13.2  -890598.6  2106869.8  -297055.8  2306579.5
1986 03 08 23 00 19.000    5.9    3.1  -11.4   13.2  -888844.6  2102652.5  -296454.6  2301972.5
1986 03 08 23 01 19.000    7.3    3.3  -10.7   13.4  -887090.5  2098435.2  -295853.2  2297365.8
1986 03 08 23 02 19.000    7.3    5.6  -13.6   16.4  -885336.3  2094218.0  -295251.9  2292758.8
1986 03 08 23 03 19.000    7.7    6.9  -14.2   17.6  -883581.9  2090000.9  -294650.6  2288152.0
1986 03 08 23 04 19.000    7.1    6.6  -14.0   17.0  -881827.4  2085783.9  -294049.3  2283545.2
1986 03 08 23 05 19.000    6.8    6.8  -13.5   16.5  -880072.8  2081566.8  -293448.0  2278938.5
1986 03 08 23 06 20.000    6.2    6.9  -13.3   16.2  -878288.7  2077279.6  -292836.6  2274254.8
1986 03 08 23 07 20.000    5.9    7.1  -14.0   16.8  -876533.8  2073062.6  -292235.3  2269648.0
1986 03 08 23 08 20.000    6.6    7.7  -13.5   16.9  -874778.6  2068845.9  -291634.1  2265041.2
1986 03 08 23 09 20.000    7.6    5.0  -13.2   16.0  -873023.3  2064629.1  -291032.8  2260434.2
1986 03 08 23 10 20.000    6.5    4.5  -14.0   16.1  -871267.8  2060412.5  -290431.6  2255827.5
1986 03 08 23 11 18.000    6.3    2.6  -12.5   14.2  -869570.6  2056336.5  -289850.4  2251374.2
1986 03 08 23 12 18.000    5.5    7.0  -15.0   17.5  -867814.8  2052120.1  -289249.2  2246767.8
1986 03 08 23 13 18.000    3.8    7.6  -14.6   16.9  -866058.7  2047903.8  -288648.1  2242160.8
1986 03 08 23 14 18.000    4.0    2.1  -12.4   13.2  -864302.5  2043687.5  -288047.0  2237554.0
1986 03 08 23 15 18.000    4.6    3.0  -12.9   14.0  -862546.1  2039471.2  -287445.8  2232947.2
1986 03 08 23 16 19.000    4.9    5.5  -14.3   16.1  -860760.3  2035184.9  -286834.8  2228264.0
1986 03 08 23 17 19.000    4.8    5.7  -13.9   15.8  -859003.6  2030968.8  -286233.7  2223657.2
1986 03 08 23 18 19.000    4.9    3.5  -11.7   13.1  -857246.8  2026752.8  -285632.7  2219050.5
1986 03 08 23 19 19.000    5.2    2.1  -10.4   11.8  -855489.8  2022536.9  -285031.7  2214443.8
1986 03 08 23 20 19.000    5.8    1.3   -7.0    9.1  -853732.6  2018321.0  -284430.7  2209837.0
1986 03 08 23 21 19.000    6.7    1.5   -3.9    7.9  -851975.2  2014105.1  -283829.8  2205230.2
1986 03 08 23 22 19.000    4.5    0.4   -4.5    6.4  -850217.7  2009889.2  -283228.9  2200623.5
1986 03 08 23 23 19.000    4.0    1.7   -7.2    8.4  -848460.0  2005673.5  -282628.1  2196016.8
1986 03 08 23 24 19.000    1.1    2.4   -7.7    8.1  -846702.2  2001457.9  -282027.3  2191410.0
1986 03 08 23 25 19.000    3.1    1.9   -7.4    8.2  -844944.2  1997242.2  -281426.5  2186803.2
1986 03 08 23 26 20.000    3.1    1.1   -4.7    5.7  -843156.8  1992956.5  -280815.7  2182119.8
1986 03 08 23 27 20.000    3.7    1.3   -4.7    6.1  -841398.5  1988741.0  -280214.9  2177513.0
1986 03 08 23 28 20.000    3.8    2.0   -2.2    4.8  -839640.1  1984525.5  -279614.2  2172906.0
1986 03 08 23 29 20.000    5.2    1.6   -2.8    6.1  -837881.5  1980310.2  -279013.5  2168299.5
1986 03 08 23 30 20.000    4.3    1.1   -3.6    5.7  -836122.8  1976094.9  -278412.8  2163692.8
1986 03 08 23 31 18.000    3.2    1.9   -2.1    4.2  -834422.5  1972020.2  -277832.0  2159239.5
1986 03 08 23 32 18.000    4.1    2.8   -1.5    5.2  -832663.5  1967805.1  -277231.2  2154632.8
1986 03 08 23 33 18.000    4.1    2.3   -1.0    4.8  -830904.3  1963590.1  -276630.5  2150026.2
1986 03 08 23 34 18.000    4.7    1.3   -2.2    5.3  -829145.0  1959375.2  -276029.8  2145419.8
1986 03 08 23 35 18.000    1.9    1.4   -0.7    2.5  -827385.5  1955160.2  -275429.1  2140813.0
1986 03 08 23 36 19.000    1.3    0.9   -2.6    3.0  -825596.6  1950875.2  -274818.4  2136129.5
1986 03 08 23 37 19.000    2.7    0.9   -2.1    3.6  -823836.8  1946660.4  -274217.7  2131522.8
1986 03 08 23 38 19.000    3.8    1.4   -3.2    5.2  -822076.9  1942445.6  -273617.1  2126916.0
1986 03 08 23 39 19.000    3.9    1.8   -0.8    4.3  -820316.8  1938231.0  -273016.4  2122309.2
1986 03 08 23 40 19.000    4.9    0.9   -3.0    5.8  -818556.6  1934016.4  -272415.8  2117702.8
1986 03 08 23 41 19.000    4.8    1.5   -5.6    7.5  -816796.2  1929801.8  -271815.2  2113096.0
1986 03 08 23 42 19.000    3.5    1.8   -5.1    6.4  -815035.8  1925587.1  -271214.6  2108489.2
1986 03 08 23 43 19.000    2.6    3.1   -7.8    8.9  -813275.1  1921372.6  -270614.1  2103882.5
1986 03 08 23 44 19.000    3.2    3.6   -9.5   10.7  -811514.3  1917158.1  -270013.5  2099275.8
1986 03 08 23 45 19.000    2.2    3.4   -9.1   10.0  -809753.4  1912943.8  -269413.0  2094668.9
1986 03 08 23 46 20.000    2.2    1.5   -7.6    8.1  -807962.9  1908659.1  -268802.5  2089985.4
1986 03 08 23 47 20.000    3.1    1.5   -7.2    8.0  -806201.6  1904444.8  -268202.1  2085378.4
1986 03 08 23 48 20.000    2.5    2.0   -6.9    7.6  -804440.1  1900230.6  -267601.7  2080771.8
1986 03 08 23 49 20.000    3.2    3.5  -10.0   11.1  -802678.5  1896016.4  -267001.2  2076164.9
1986 03 08 23 50 20.000    2.9    2.1   -9.1    9.7  -800916.7  1891802.4  -266400.9  2071558.2
1986 03 08 23 51 18.000    1.4    3.7  -10.7   11.4  -799213.4  1887728.9  -265820.6  2067105.0
1986 03 08 23 52 18.000    3.4    4.2   -7.1    8.9  -797451.2  1883514.9  -265220.4  2062498.1
1986 03 08 23 53 18.000    4.8    2.5   -7.3    9.1  -795688.9  1879301.1  -264620.2  2057891.5
1986 03 08 23 54 18.000    6.7    4.8  -10.3   13.2  -793926.4  1875087.2  -264019.9  2053284.6
1986 03 08 23 55 18.000    5.6    5.4  -11.3   13.7  -792163.7  1870873.6  -263419.8  2048678.0
1986 03 08 23 56 19.000    4.5    2.7  -10.1   11.4  -790371.4  1866589.8  -262809.6  2043994.4
1986 03 08 23 57 19.000    3.1    1.9   -9.8   10.5  -788608.4  1862376.1  -262209.4  2039387.6
1986 03 08 23 58 19.000    3.7    1.5   -4.1    5.7  -786845.3  1858162.6  -261609.2  2034781.0
1986 03 08 23 59 19.000    6.6    3.7   -3.6    8.4  -785082.0  1853949.1  -261009.1  2030174.1
1986 03 09 00 00 19.000    5.0    4.5   -1.2    6.8  -783318.6  1849735.8  -260408.9  2025567.4
1986 03 09 00 01 19.000    7.4    5.1   -5.9   10.7  -781555.0  1845522.4  -259808.7  2020960.6
1986 03 09 00 02 19.000    5.4    2.5   -7.5    9.6  -779791.3  1841309.1  -259208.5  2016353.9
1986 03 09 00 03 19.000    9.9    8.8   -6.3   14.7  -778027.4  1837095.9  -258608.2  2011747.0
1986 03 09 00 04 19.000    8.3    9.1   -7.8   14.6  -776263.4  1832882.8  -258008.0  2007140.2
1986 03 09 00 05 19.000    9.1   10.1   -8.5   16.1  -774499.2  1828669.6  -257407.8  2002533.5
1986 03 09 00 06 20.000    8.3    8.4  -10.3   15.7  -772705.6  1824386.4  -256797.6  1997850.0
1986 03 09 00 07 20.000    8.5    9.0  -10.3   16.2  -770941.1  1820173.4  -256197.4  1993243.2
1986 03 09 00 08 20.000    9.3    7.2   -7.9   14.2  -769176.4  1815960.4  -255597.2  1988636.4
1986 03 09 00 09 20.000    9.3    8.3   -8.6   15.1  -767411.6  1811747.5  -254997.1  1984029.5
1986 03 09 00 10 20.000    8.7    7.9   -8.4   14.4  -765646.7  1807534.8  -254397.0  1979422.8
1986 03 09 00 11 18.000    6.0    1.5   -7.9   10.1  -763940.4  1803462.4  -253816.9  1974969.4
1986 03 09 00 12 18.000    8.3    1.6   -6.1   10.4  -762175.1  1799249.6  -253216.8  1970362.6
1986 03 09 00 13 18.000    9.2    2.5   -6.4   11.5  -760409.6  1795037.0  -252616.7  1965755.9
1986 03 09 00 14 18.000    7.3    1.5   -6.6    9.9  -758644.0  1790824.5  -252016.7  1961149.1
1986 03 09 00 15 18.000    8.3    2.9   -6.4   10.9  -756878.2  1786612.0  -251416.7  1956542.2
1986 03 09 00 16 19.000   10.5    6.4   -7.1   14.2  -755082.9  1782329.2  -250806.7  1951858.5
1986 03 09 00 17 19.000    9.6    5.7   -8.6   14.1  -753316.8  1778116.9  -250206.8  1947251.8
1986 03 09 00 18 19.000   10.2    6.4   -7.7   14.2  -751550.6  1773904.6  -249606.8  1942644.9
1986 03 09 00 19 19.000    8.8    5.3   -4.6   11.3  -749784.1  1769692.4  -249006.9  1938038.1
1986 03 09 00 20 19.000   10.5    6.1   -5.5   13.3  -748017.6  1765480.1  -248407.0  1933431.2
1986 03 09 00 21 19.000   10.7    5.1   -4.6   12.7  -746250.8  1761268.1  -247807.2  1928824.5
1986 03 09 00 22 19.000   10.6    3.6   -5.3   12.4  -744483.9  1757056.1  -247207.5  1924217.8
1986 03 09 00 23 19.000    9.8    3.7   -6.0   12.1  -742716.8  1752844.1  -246607.7  1919610.9
1986 03 09 00 24 19.000    8.7    2.4   -6.0   10.9  -740949.6  1748632.2  -246008.0  1915004.1
1986 03 09 00 25 19.000    6.8    1.4   -7.2   10.0  -739182.2  1744420.5  -245408.3  1910397.5
1986 03 09 00 26 20.000    5.7    1.2   -8.9   10.6  -737385.2  1740138.5  -244798.6  1905713.9
1986 03 09 00 27 20.000    4.8    1.3   -7.6    9.1  -735617.5  1735926.9  -244199.0  1901107.1
1986 03 09 00 28 20.000    5.0    2.1   -8.4   10.0  -733849.7  1731715.2  -243599.3  1896500.4
1986 03 09 00 29 20.000    4.4    1.8   -8.9   10.1  -732081.8  1727503.6  -242999.7  1891893.6
1986 03 09 00 30 20.000    5.0    1.6   -6.5    8.4  -730313.6  1723292.1  -242400.1  1887286.8
1986 03 09 00 31 18.000    7.5    2.4   -5.7    9.8  -728604.4  1719221.1  -241820.6  1882833.8
1986 03 09 00 32 18.000    6.6    1.9   -8.1   10.6  -726836.1  1715009.6  -241221.0  1878226.9
1986 03 09 00 33 18.000    6.3    1.9   -7.9   10.3  -725067.7  1710798.4  -240621.5  1873620.4
1986 03 09 00 34 18.000    6.1    1.7   -6.4    9.0  -723299.1  1706587.0  -240022.0  1869013.5
1986 03 09 00 35 18.000    8.1    2.8   -6.4   10.7  -721530.4  1702375.9  -239422.5  1864406.9
1986 03 09 00 36 19.000    9.1    3.8   -4.1   10.7  -719731.9  1698094.5  -238813.0  1859723.4
1986 03 09 00 37 19.000    8.6    3.2   -5.8   10.9  -717962.9  1693883.4  -238213.6  1855116.5
1986 03 09 00 38 19.000    8.5    2.1   -6.2   10.8  -716193.6  1689672.4  -237614.1  1850509.8
1986 03 09 00 39 19.000    9.7    4.2   -7.7   13.1  -714424.2  1685461.5  -237014.6  1845903.1
1986 03 09 00 40 19.000    9.6    5.2   -4.8   11.9  -712654.6  1681250.6  -236415.1  1841296.4
1986 03 09 00 41 19.000    8.4    3.1   -4.5   10.0  -710884.6  1677039.8  -235815.6  1836689.5
1986 03 09 00 42 19.000    8.6    3.6   -2.2    9.6  -709114.6  1672829.1  -235216.0  1832082.8
1986 03 09 00 43 19.000    8.9    2.9   -3.1    9.9  -707344.3  1668618.5  -234616.5  1827476.0
1986 03 09 00 44 19.000    8.9    2.7   -3.6   10.0  -705573.9  1664407.9  -234017.0  1822869.2
1986 03 09 00 45 19.000    8.5    3.1   -3.6    9.8  -703803.3  1660197.4  -233417.5  1818262.5
1986 03 09 00 46 20.000    8.3    2.9   -2.4    9.1  -702003.1  1655916.8  -232808.0  1813578.9
1986 03 09 00 47 20.000   10.1    4.2   -5.4   12.2  -700232.1  1651706.4  -232208.5  1808972.0
1986 03 09 00 48 20.000   10.4    4.5   -7.9   13.8  -698461.1  1647496.0  -231609.0  1804365.2
1986 03 09 00 49 20.000    9.7    5.8   -8.8   14.3  -696689.9  1643285.8  -231009.6  1799758.5
1986 03 09 00 50 20.000    9.0    4.0   -7.0   12.1  -694918.6  1639075.6  -230410.2  1795151.6
1986 03 09 00 51 18.000    8.2    4.1   -9.7   13.4  -693206.2  1635005.8  -229830.9  1790698.5
1986 03 09 00 52 18.000    9.2    3.9   -5.1   11.2  -691434.7  1630795.8  -229231.6  1786091.8
1986 03 09 00 53 18.000    8.7    2.6   -4.7   10.3  -689663.1  1626585.6  -228632.4  1781485.0
1986 03 09 00 54 18.000    9.2    4.0   -5.4   11.4  -687891.2  1622375.8  -228033.1  1776878.2
1986 03 09 00 55 18.000   10.2    5.3   -6.3   13.1  -686119.2  1618165.8  -227433.9  1772271.6
1986 03 09 00 56 19.000    8.2    3.3   -4.4    9.9  -684317.6  1613885.8  -226824.8  1767588.0
1986 03 09 00 57 19.000    6.6    6.9   -5.9   11.2  -682545.4  1609676.0  -226225.6  1762981.2
1986 03 09 00 58 19.000    9.7    5.3   -6.2   12.7  -680772.9  1605466.2  -225626.5  1758374.5
1986 03 09 00 59 19.000    9.9    5.1   -5.4   12.4  -679000.4  1601256.6  -225027.4  1753767.9
1986 03 09 01 00 19.000   10.2    5.2   -5.6   12.8  -677227.6  1597047.0  -224428.3  1749161.0
1986 03 09 01 01 19.000   10.8    5.3   -5.9   13.4  -675454.6  1592837.4  -223829.2  1744554.2
1986 03 09 01 02 19.000   10.2    4.1   -4.2   11.7  -673681.6  1588627.9  -223230.2  1739947.4
1986 03 09 01 03 19.000    9.4    3.5   -6.4   11.9  -671908.3  1584418.5  -222631.1  1735340.6
1986 03 09 01 04 19.000    9.2    4.8   -3.7   11.0  -670134.9  1580209.0  -222032.1  1730733.9
1986 03 09 01 05 19.000    9.6    4.4   -4.3   11.4  -668361.3  1575999.8  -221433.1  1726127.1
1986 03 09 01 06 20.000    9.4    3.3   -4.3   10.9  -666558.0  1571720.4  -220824.2  1721443.5
1986 03 09 01 07 20.000    9.8    3.5   -4.1   11.2  -664784.1  1567511.1  -220225.2  1716836.8
1986 03 09 01 08 20.000    9.3    3.5   -4.4   10.9  -663010.1  1563302.0  -219626.2  1712230.0
1986 03 09 01 09 20.000    8.7    3.5   -5.2   10.7  -661235.9  1559093.0  -219027.3  1707623.1
1986 03 09 01 10 20.000    8.5    4.7   -2.9   10.1  -659461.6  1554884.0  -218428.3  1703016.4
1986 03 09 01 11 18.000    7.7    2.1   -5.3    9.6  -657746.2  1550815.5  -217849.3  1698563.2
1986 03 09 01 12 18.000    7.6    2.3   -4.8    9.3  -655971.6  1546606.6  -217250.3  1693956.5
1986 03 09 01 13 18.000    7.1    1.5   -4.8    8.7  -654196.9  1542397.9  -216651.4  1689349.8
1986 03 09 01 14 18.000    7.0    2.6   -3.7    8.4  -652421.9  1538189.2  -216052.4  1684743.1
1986 03 09 01 15 18.000    8.5    4.6   -4.9   10.8  -650646.9  1533980.6  -215453.5  1680136.4
1986 03 09 01 16 19.000    7.7    3.6   -3.3    9.1  -648842.1  1529701.9  -214844.6  1675452.8
1986 03 09 01 17 19.000    7.1    4.9   -1.0    8.7  -647066.7  1525493.5  -214245.8  1670846.1
1986 03 09 01 18 19.000    7.5    4.1   -3.3    9.1  -645291.2  1521285.0  -213647.0  1666239.5
1986 03 09 01 19 19.000    8.8    4.7   -3.9   10.8  -643515.5  1517076.6  -213048.2  1661632.8
1986 03 09 01 20 19.000    8.5    2.8   -6.0   10.8  -641739.6  1512868.4  -212449.4  1657026.0
1986 03 09 01 21 19.000    9.7    4.0   -6.4   12.3  -639963.6  1508660.1  -211850.8  1652419.2
1986 03 09 01 22 19.000    9.3    3.4   -6.0   11.6  -638187.4  1504451.9  -211252.3  1647812.5
1986 03 09 01 23 19.000    9.1    3.7   -6.4   11.8  -636411.1  1500243.8  -210653.7  1643205.9
1986 03 09 01 24 19.000    9.5    6.0   -4.5   12.1  -634634.6  1496035.8  -210055.2  1638599.2
1986 03 09 01 25 19.000    7.7    3.7   -4.4    9.6  -632857.9  1491827.8  -209456.7  1633992.5
1986 03 09 01 26 20.000   10.4    5.2   -6.1   13.1  -631051.4  1487549.6  -208848.3  1629308.9
1986 03 09 01 27 20.000   10.9    5.8   -8.5   15.0  -629274.4  1483341.8  -208249.8  1624702.1
1986 03 09 01 28 20.000    9.1    4.0   -9.3   13.6  -627497.2  1479133.9  -207651.4  1620095.4
1986 03 09 01 29 20.000    9.9    7.0   -9.1   15.1  -625719.9  1474926.1  -207053.0  1615488.6
1986 03 09 01 30 20.000    8.7    5.6  -10.2   14.6  -623942.5  1470718.4  -206454.5  1610881.9
1986 03 09 01 31 18.000   10.6    6.0   -5.1   13.2  -622224.1  1466651.0  -205875.9  1606428.8
1986 03 09 01 32 18.000    9.7    4.8   -7.6   13.2  -620446.3  1462443.4  -205277.4  1601821.9
1986 03 09 01 33 18.000   10.8    5.8   -6.4   13.9  -618668.4  1458235.9  -204678.9  1597215.1
1986 03 09 01 34 18.000   11.3    7.7   -7.6   15.7  -616890.2  1454028.4  -204080.3  1592608.1
1986 03 09 01 35 18.000   10.6    7.2   -5.9   14.1  -615112.0  1449821.0  -203481.8  1588001.4
1986 03 09 01 36 19.000   10.9    9.9   -5.6   15.7  -613303.9  1445543.5  -202873.3  1583317.9
1986 03 09 01 37 19.000    9.4    7.0   -5.9   13.1  -611525.3  1441336.2  -202274.9  1578711.0
1986 03 09 01 38 19.000    9.0    8.3   -9.1   15.2  -609746.6  1437129.0  -201676.4  1574104.2
1986 03 09 01 39 19.000    8.3    4.4   -9.5   13.3  -607967.7  1432921.9  -201077.9  1569497.4
1986 03 09 01 40 19.000    9.8    4.9   -7.9   13.5  -606188.6  1428714.8  -200479.5  1564890.5
1986 03 09 01 41 19.000    7.8    5.3   -8.5   12.6  -604409.4  1424507.8  -199881.1  1560283.9
1986 03 09 01 42 19.000    8.4    7.2   -7.8   13.5  -602629.9  1420300.9  -199282.8  1555677.0
1986 03 09 01 43 19.000    8.1    8.7   -7.7   14.2  -600850.4  1416094.0  -198684.4  1551070.2
1986 03 09 01 44 19.000    8.9    7.0   -6.5   13.0  -599070.7  1411887.2  -198086.1  1546463.4
1986 03 09 01 45 19.000    8.0    8.5   -8.2   14.3  -597290.8  1407680.6  -197487.8  1541856.9
1986 03 09 01 46 20.000    7.0    6.2   -4.9   10.5  -595481.1  1403403.9  -196879.5  1537173.2
1986 03 09 01 47 20.000    6.3    7.4   -6.3   11.6  -593700.9  1399197.2  -196281.3  1532566.5
1986 03 09 01 48 20.000    6.9    5.4   -8.4   12.1  -591920.6  1394990.8  -195683.0  1527959.8
1986 03 09 01 49 20.000    1.7    5.0  -11.3   12.5  -590140.1  1390784.2  -195084.8  1523353.0
1986 03 09 01 50 20.000   -0.6    3.4   -5.4    6.4  -588359.4  1386577.9  -194486.6  1518746.2
1986 03 09 01 51 18.000    1.0    2.7   -7.7    8.2  -586638.0  1382511.8  -193908.4  1514293.0
1986 03 09 01 52 18.000   -0.1    4.4   -1.9    4.8  -584857.1  1378305.5  -193310.2  1509686.4
1986 03 09 01 53 18.000   -0.6    5.6   -5.0    7.6  -583076.1  1374099.2  -192712.0  1505079.5
1986 03 09 01 54 18.000   -2.6    4.9   -5.9    8.2  -581294.8  1369893.0  -192113.9  1500472.6
1986 03 09 01 55 18.000   -3.2    9.2   -4.0   10.6  -579513.4  1365686.9  -191515.8  1495866.0
1986 03 09 01 56 19.000    1.2    7.7   -5.9    9.8  -577702.2  1361410.8  -190907.8  1491182.4
1986 03 09 01 57 19.000   -1.2    3.7   -9.1    9.9  -575920.6  1357204.8  -190309.7  1486575.6
1986 03 09 01 58 19.000   -1.5    5.4   -6.8    8.8  -574138.8  1352998.9  -189711.7  1481968.9
1986 03 09 01 59 19.000   -5.4    3.1   -8.8   10.8  -572356.8  1348793.0  -189113.6  1477362.1
1986 03 09 02 00 19.000   -0.8    3.8  -10.0   10.8  -570574.6  1344587.1  -188515.6  1472755.2
1986 03 09 02 01 19.000    1.3    5.3   -7.7    9.4  -568792.4  1340381.4  -187917.6  1468148.5
1986 03 09 02 02 19.000    3.4    0.7   -7.8    8.6  -567010.0  1336175.8  -187319.7  1463541.9
1986 03 09 02 03 19.000   -0.9    0.1   -9.3    9.3  -565227.5  1331970.0  -186721.7  1458935.0
1986 03 09 02 04 19.000   -0.3   -0.4   -7.7    7.8  -563444.8  1327764.5  -186123.8  1454328.2
1986 03 09 02 05 19.000   -3.6    5.1   -6.0    8.7  -561661.9  1323559.0  -185525.9  1449721.5
1986 03 09 02 06 20.000   -2.5    5.1   -2.1    6.0  -559849.2  1319283.4  -184918.0  1445037.9
1986 03 09 02 07 20.000   -0.6    1.2   -4.8    5.0  -558066.0  1315078.0  -184320.1  1440431.1
1986 03 09 02 08 20.000   -2.0    0.1   -9.3    9.5  -556282.6  1310872.8  -183722.3  1435824.4
1986 03 09 02 09 20.000    2.2    0.8   -4.1    4.7  -554499.1  1306667.5  -183124.5  1431217.6
1986 03 09 02 10 20.000   -2.0    2.2   -9.8   10.2  -552715.4  1302462.2  -182526.8  1426610.8
1986 03 09 02 11 18.000   -5.9    5.0   -9.5   12.3  -550990.9  1298397.4  -181949.0  1422157.6
1986 03 09 02 12 18.000   -1.0    2.0   -3.5    4.1  -549206.8  1294192.4  -181351.4  1417550.9
1986 03 09 02 13 18.000   -1.5    7.9   -4.5    9.2  -547422.6  1289987.4  -180753.7  1412944.0
1986 03 09 02 14 18.000   -4.5    6.7   -7.2   10.8  -545638.1  1285782.5  -180156.1  1408337.2
1986 03 09 02 15 18.000   -5.1    5.0   -8.4   11.0  -543853.6  1281577.8  -179558.5  1403730.5
