YYYY MM DD hh mm ss.sss   BX CSE BY CSE BZ CSE BT CSE X CSE      Y CSE      Z CSE      R CSE      
                           nT     nT     nT     nT    km         km         km         km         
1986 03 08 09 50 09.000   10.5    7.1   -2.5   12.9 -2225301.8  5454428.0  -777133.8  5941943.5
1986 03 08 09 51 07.000   10.4    7.1   -2.4   12.8 -2223728.0  5450304.0  -776539.2  5937490.5
1986 03 08 09 52 07.000   10.4    6.9   -2.5   12.7 -2222100.0  5446038.0  -775924.2  5932884.5
1986 03 08 09 53 07.000   10.0    5.8   -2.6   11.9 -2220471.8  5441772.0  -775309.1  5928278.0
1986 03 08 09 54 07.000    9.1    5.4   -1.9   10.7 -2218843.2  5437506.0  -774694.1  5923672.0
1986 03 08 09 55 07.000    9.1    6.4   -1.7   11.2 -2217214.5  5433240.0  -774079.1  5919065.5
1986 03 08 09 56 08.000    9.1    6.2   -1.5   11.1 -2215558.8  5428903.0  -773453.9  5914382.5
1986 03 08 09 57 08.000    9.9    8.6   -3.9   13.7 -2213929.8  5424637.5  -772838.9  5909776.5
1986 03 08 09 58 08.000    9.1   11.8   -4.4   15.6 -2212300.5  5420371.5  -772223.9  5905170.0
1986 03 08 09 59 08.000    9.6   10.0   -3.6   14.3 -2210671.2  5416106.0  -771608.9  5900563.5
1986 03 08 10 00 08.000   10.2    8.2   -3.0   13.4 -2209041.8  5411840.0  -770994.0  5895957.0
1986 03 08 10 01 08.000   10.3    6.4   -3.5   12.6 -2207412.0  5407574.5  -770379.1  5891350.5
1986 03 08 10 02 08.000   10.3    6.8   -2.3   12.6 -2205782.0  5403309.0  -769764.1  5886744.5
1986 03 08 10 03 08.000    9.9    6.7   -1.0   12.0 -2204151.8  5399043.5  -769149.2  5882138.0
1986 03 08 10 04 08.000    9.2    7.7   -0.1   12.0 -2202521.5  5394778.0  -768534.2  5877531.5
1986 03 08 10 05 08.000    9.6    8.8   -0.7   13.0 -2200891.0  5390512.5  -767919.3  5872925.0
1986 03 08 10 06 09.000    8.8   11.0    0.0   14.1 -2199233.2  5386176.0  -767294.2  5868241.5
1986 03 08 10 07 09.000   10.9    7.4   -1.4   13.3 -2197602.5  5381911.0  -766679.3  5863635.5
1986 03 08 10 08 09.000   10.7    8.8    0.0   13.9 -2195971.5  5377645.5  -766064.4  5859029.0
1986 03 08 10 09 09.000   10.9    8.0   -0.6   13.6 -2194340.5  5373380.5  -765449.6  5854422.5
1986 03 08 10 10 09.000   11.1    8.2   -0.8   13.8 -2192709.2  5369115.0  -764834.8  5849815.5
1986 03 08 10 31 07.000   11.0    8.3   -0.5   13.8 -2158473.8  5279704.5  -751949.0  5753235.5
1986 03 08 10 32 07.000   11.3    7.2   -1.0   13.5 -2156839.0  5275441.0  -751334.6  5748629.0
1986 03 08 10 33 07.000   11.3    6.5   -1.1   13.0 -2155204.0  5271177.5  -750720.3  5744022.5
1986 03 08 10 34 07.000   11.2    7.9   -0.4   13.7 -2153569.0  5266913.5  -750106.0  5739416.0
1986 03 08 10 35 07.000   11.7    4.6   -1.9   12.7 -2151933.8  5262650.0  -749491.7  5734809.5
1986 03 08 10 36 08.000   12.2    4.5   -2.0   13.2 -2150271.0  5258315.5  -748867.2  5730126.5
1986 03 08 10 37 08.000   12.4    5.2   -1.6   13.5 -2148635.5  5254052.5  -748252.9  5725520.5
1986 03 08 10 38 08.000   12.0    4.0   -1.9   12.8 -2146999.8  5249789.0  -747638.6  5720914.0
1986 03 08 10 39 08.000   11.8    3.6   -2.1   12.5 -2145364.0  5245526.0  -747024.4  5716307.5
1986 03 08 10 40 08.000   11.6    4.1   -2.3   12.5 -2143727.8  5241262.5  -746410.1  5711701.0
1986 03 08 10 41 08.000   11.5    3.9   -2.3   12.4 -2142091.8  5236999.5  -745795.8  5707095.0
1986 03 08 10 42 08.000   11.6    4.0   -2.2   12.5 -2140455.5  5232736.5  -745181.4  5702488.5
1986 03 08 10 43 08.000   12.1    5.3   -1.7   13.3 -2138819.0  5228473.5  -744567.1  5697882.0
1986 03 08 10 44 08.000   12.0    5.4   -1.6   13.3 -2137182.5  5224210.5  -743952.8  5693276.0
1986 03 08 10 45 08.000   12.2    6.0   -1.3   13.7 -2135545.8  5219948.0  -743338.4  5688670.0
1986 03 08 10 46 09.000   11.6    5.5   -1.9   13.0 -2133881.5  5215614.0  -742713.9  5683986.5
1986 03 08 10 47 09.000   12.3    6.2   -1.6   13.9 -2132244.5  5211351.5  -742099.6  5679380.5
1986 03 08 10 48 09.000   11.7    4.8   -1.7   12.8 -2130607.2  5207088.5  -741485.3  5674773.5
1986 03 08 10 49 09.000   12.4    5.8   -1.4   13.7 -2128970.0  5202826.0  -740871.1  5670167.5
1986 03 08 10 50 09.000   12.4    5.7   -1.5   13.8 -2127332.2  5198563.5  -740256.9  5665561.5
1986 03 08 10 51 07.000   12.5    6.0   -1.8   14.0 -2125749.2  5194443.0  -739663.2  5661108.5
1986 03 08 10 52 07.000   12.6    5.9   -1.6   14.0 -2124111.2  5190180.5  -739049.1  5656502.0
1986 03 08 10 53 07.000   12.9    6.1   -1.2   14.3 -2122473.0  5185918.0  -738435.1  5651895.5
1986 03 08 10 54 07.000   13.1    6.4   -1.1   14.6 -2120834.8  5181656.0  -737821.1  5647289.5
1986 03 08 10 55 07.000   13.0    5.4   -1.3   14.2 -2119196.2  5177393.5  -737207.1  5642683.0
1986 03 08 10 56 08.000   13.1    5.2   -1.6   14.2 -2117530.5  5173060.0  -736582.8  5637999.5
1986 03 08 10 57 08.000   13.1    5.3   -1.1   14.2 -2115891.8  5168798.0  -735968.9  5633393.5
1986 03 08 10 58 08.000   13.1    5.7   -0.4   14.3 -2114252.8  5164536.0  -735354.9  5628787.0
1986 03 08 10 59 08.000   13.2    7.5   -0.1   15.2 -2112613.8  5160274.0  -734741.1  5624181.0
1986 03 08 11 00 08.000   13.0    7.5    0.3   15.0 -2110974.5  5156011.5  -734127.1  5619574.0
1986 03 08 11 01 08.000   12.9    7.3    0.4   14.9 -2109335.0  5151750.0  -733513.3  5614968.0
1986 03 08 11 02 08.000   12.7    7.0    0.7   14.5 -2107695.8  5147488.0  -732899.4  5610361.5
1986 03 08 11 03 08.000   12.8    6.9    0.6   14.5 -2106056.0  5143226.0  -732285.6  5605755.0
1986 03 08 11 04 08.000   13.0    7.0    0.2   14.8 -2104416.2  5138964.0  -731671.8  5601148.5
1986 03 08 11 05 08.000   13.1    7.1    0.3   14.9 -2102776.2  5134702.5  -731058.1  5596542.5
1986 03 08 11 06 09.000   12.7    7.8    0.9   14.9 -2101109.0  5130370.0  -730434.0  5591859.5
1986 03 08 11 07 09.000   12.9    7.2    0.6   14.8 -2099468.8  5126108.0  -729820.2  5587252.5
1986 03 08 11 08 09.000   13.0    7.4    0.3   15.0 -2097828.2  5121846.5  -729206.5  5582646.0
1986 03 08 11 09 09.000   13.3    7.1   -0.3   15.0 -2096187.6  5117585.0  -728592.7  5578040.0
1986 03 08 11 10 09.000   13.3    6.6   -0.5   14.9 -2094546.9  5113324.0  -727978.9  5573433.5
1986 03 08 11 11 07.000   13.5    7.0   -0.8   15.2 -2092960.6  5109204.5  -727385.5  5568980.5
1986 03 08 11 12 07.000   13.7    7.3   -1.0   15.6 -2091319.5  5104943.0  -726771.6  5564374.0
1986 03 08 11 13 07.000   13.7    6.2   -1.0   15.0 -2089678.2  5100682.0  -726157.8  5559768.0
1986 03 08 11 14 07.000   13.6    5.5   -1.2   14.7 -2088036.8  5096420.5  -725543.9  5555161.0
1986 03 08 11 15 07.000   13.4    5.7   -0.9   14.6 -2086395.1  5092159.5  -724930.1  5550554.5
1986 03 08 11 16 08.000   13.3    7.6   -0.3   15.3 -2084725.9  5087827.5  -724306.1  5545871.5
1986 03 08 11 17 08.000   13.4    8.1   -0.9   15.7 -2083084.0  5083566.5  -723692.3  5541265.0
1986 03 08 11 18 08.000   13.6    6.6   -2.1   15.3 -2081441.8  5079305.5  -723078.6  5536658.5
1986 03 08 11 19 08.000   13.7    7.1   -2.0   15.6 -2079799.5  5075044.5  -722464.9  5532052.0
1986 03 08 11 20 08.000   13.7    7.4   -1.8   15.7 -2078157.0  5070784.0  -721851.2  5527446.0
1986 03 08 11 21 08.000   13.6    7.5   -1.6   15.6 -2076514.2  5066523.0  -721237.7  5522839.0
1986 03 08 11 22 08.000   13.7    7.2   -1.9   15.6 -2074871.5  5062262.5  -720624.2  5518232.5
1986 03 08 11 23 08.000   13.8    7.3   -2.0   15.8 -2073228.4  5058002.0  -720010.8  5513626.5
1986 03 08 11 24 08.000   14.0    7.3   -2.3   15.9 -2071585.2  5053741.5  -719397.4  5509020.0
1986 03 08 11 25 08.000   13.9    6.9   -2.3   15.7 -2069941.9  5049481.0  -718783.9  5504413.5
1986 03 08 11 26 09.000   13.9    6.8   -2.0   15.6 -2068271.0  5045150.0  -718160.4  5499731.0
1986 03 08 11 27 09.000   13.9    7.1   -2.1   15.7 -2066627.2  5040889.5  -717547.0  5495124.0
1986 03 08 11 28 09.000   13.8    6.9   -2.1   15.5 -2064983.5  5036629.5  -716933.7  5490518.0
1986 03 08 11 29 09.000   13.9    6.5   -2.6   15.6 -2063339.5  5032369.0  -716320.3  5485911.0
1986 03 08 11 30 09.000   14.1    6.7   -2.8   15.9 -2061695.4  5028109.0  -715707.0  5481305.0
1986 03 08 11 31 07.000   14.0    6.6   -3.0   15.8 -2060106.0  5023991.0  -715114.0  5476852.0
1986 03 08 11 32 07.000   14.0    6.8   -2.8   15.8 -2058461.6  5019731.0  -714500.6  5472246.0
1986 03 08 11 33 07.000   14.1    7.0   -3.1   16.0 -2056817.0  5015471.0  -713887.1  5467639.5
1986 03 08 11 34 07.000   13.9    6.3   -2.8   15.5 -2055172.4  5011211.0  -713273.8  5463033.0
1986 03 08 11 35 07.000   13.9    6.7   -2.7   15.7 -2053527.5  5006951.5  -712660.3  5458427.0
1986 03 08 11 36 08.000   13.8    6.7   -2.2   15.5 -2051855.1  5002620.5  -712036.7  5453743.5
1986 03 08 11 37 08.000   13.6    6.8   -2.1   15.4 -2050210.0  4998361.0  -711423.3  5449137.5
1986 03 08 11 38 08.000   13.6    6.8   -2.0   15.3 -2048564.6  4994101.0  -710809.9  5444530.5
1986 03 08 11 39 08.000   13.6    7.0   -2.7   15.6 -2046919.2  4989841.5  -710196.6  5439924.5
1986 03 08 11 40 08.000   13.4    7.0   -3.0   15.4 -2045273.6  4985582.0  -709583.2  5435318.0
1986 03 08 11 41 08.000   13.0    6.9   -2.3   14.9 -2043627.8  4981322.5  -708969.9  5430711.5
1986 03 08 11 42 08.000   12.8    7.0   -1.5   14.7 -2041981.9  4977063.0  -708356.7  5426105.0
1986 03 08 11 43 08.000   12.9    6.6   -1.9   14.6 -2040335.8  4972803.5  -707743.4  5421498.5
1986 03 08 11 44 08.000   13.6    6.8   -3.0   15.5 -2038689.5  4968544.0  -707130.2  5416892.0
1986 03 08 11 45 08.000   13.2    5.5   -2.9   14.6 -2037043.0  4964285.0  -706517.0  5412285.5
1986 03 08 11 46 09.000   13.5    5.8   -3.5   15.1 -2035369.0  4959954.5  -705893.6  5407602.0
1986 03 08 11 47 09.000   13.4    5.7   -3.4   14.9 -2033722.2  4955695.5  -705280.4  5402996.0
1986 03 08 11 48 09.000   13.3    5.5   -3.9   14.9 -2032075.2  4951436.0  -704667.2  5398389.0
1986 03 08 11 49 09.000   13.4    5.2   -3.6   14.8 -2030428.1  4947177.0  -704054.1  5393782.5
1986 03 08 11 50 09.000   13.2    4.5   -3.2   14.3 -2028780.9  4942918.0  -703441.1  5389176.0
1986 03 08 11 51 07.000   13.3    5.0   -2.7   14.5 -2027188.4  4938801.0  -702848.4  5384723.5
1986 03 08 11 52 07.000   13.4    5.1   -2.6   14.5 -2025540.8  4934542.5  -702235.3  5380117.0
1986 03 08 11 53 07.000   13.6    5.2   -3.2   14.9 -2023892.9  4930283.5  -701622.2  5375510.0
1986 03 08 11 54 07.000   13.5    4.5   -3.9   14.8 -2022244.9  4926025.0  -701009.2  5370904.0
1986 03 08 11 55 07.000   13.6    5.4   -4.1   15.2 -2020596.8  4921766.5  -700396.2  5366298.0
1986 03 08 11 56 08.000   11.4    4.3   -1.1   12.2 -2018921.0  4917437.0  -699773.0  5361614.5
1986 03 08 11 57 08.000   10.8    3.5   -0.7   11.4 -2017272.5  4913178.5  -699160.1  5357008.0
1986 03 08 11 58 08.000   11.3    3.8   -1.4   12.0 -2015623.9  4908920.0  -698547.1  5352401.5
1986 03 08 11 59 08.000   12.0    4.3   -1.6   12.8 -2013975.1  4904661.5  -697934.2  5347795.0
1986 03 08 12 00 08.000   11.5    4.5   -0.8   12.4 -2012326.1  4900403.0  -697321.3  5343188.0
1986 03 08 12 01 08.000   11.6    4.5   -0.1   12.4 -2010677.0  4896145.0  -696708.4  5338582.5
1986 03 08 12 02 08.000   11.7    2.7   -1.7   12.1 -2009027.8  4891886.5  -696095.6  5333975.5
1986 03 08 12 03 08.000   11.7    2.7   -1.9   12.2 -2007378.4  4887628.5  -695482.8  5329369.0
1986 03 08 12 04 08.000   12.4    3.3   -2.2   13.0 -2005728.8  4883370.5  -694869.9  5324763.0
1986 03 08 12 05 08.000   12.4    3.2   -2.9   13.1 -2004079.0  4879112.5  -694257.2  5320156.5
1986 03 08 12 06 09.000   12.6    3.4   -3.6   13.5 -2002401.6  4874783.5  -693634.2  5315473.0
1986 03 08 12 07 09.000   12.8    3.3   -3.5   13.6 -2000751.5  4870525.5  -693021.4  5310866.5
1986 03 08 12 08 09.000   12.5    3.0   -4.6   13.7 -1999101.4  4866268.0  -692408.6  5306260.5
1986 03 08 12 09 09.000   12.6    2.8   -4.2   13.6 -1997451.0  4862010.0  -691795.9  5301654.0
1986 03 08 12 10 09.000   11.7    2.7   -4.6   12.9 -1995800.4  4857752.5  -691183.1  5297047.5
1986 03 08 12 11 07.000    7.1    9.5   -3.9   12.5 -1994204.8  4853636.5  -690590.6  5292594.5
1986 03 08 12 12 07.000    9.4    8.1   -4.2   13.1 -1992553.9  4849379.0  -689977.8  5287988.0
1986 03 08 12 13 07.000    7.0    8.2   -4.5   11.7 -1990902.9  4845122.0  -689364.9  5283382.0
1986 03 08 12 14 07.000    8.6    8.4   -3.9   12.6 -1989251.6  4840864.5  -688752.1  5278775.5
1986 03 08 12 15 07.000    8.6    8.3   -4.7   12.8 -1987600.4  4836607.0  -688139.2  5274169.0
1986 03 08 12 16 08.000   10.0    8.4   -6.1   14.4 -1985921.2  4832279.0  -687516.2  5269486.0
1986 03 08 12 17 08.000    9.8    8.0   -6.5   14.3 -1984269.6  4828021.5  -686903.4  5264879.0
1986 03 08 12 18 08.000    9.2    7.9   -6.3   13.7 -1982617.9  4823764.5  -686290.7  5260273.0
1986 03 08 12 19 08.000    8.0    7.4   -7.3   13.1 -1980965.9  4819507.5  -685678.0  5255667.0
1986 03 08 12 20 08.000    6.3    7.1   -7.3   11.9 -1979313.8  4815250.5  -685065.3  5251060.5
